,rhex.csv,jcae.csv,popeye-chess.csv,openmalaria.csv,archive-crawler.csv,acdk.csv,truevision.csv,rocrail.csv
acdk.csv,0.17,0.53,0.2,0.1,0.24,0.0,0.15,0.31
archive-crawler.csv,0.23,0.16,0.32,0.31,0.02,0.32,0.42,0.5
jcae.csv,0.06,0.0,0.02,0.0,0.2,0.08,0.25,0.11
openmalaria.csv,0.54,0.82,0.2,0.0,0.8,0.48,0.68,0.55
popeye-chess.csv,0.35,0.56,0.02,0.27,0.64,0.44,0.31,0.41
rhex.csv,0.0,0.08,0.02,0.04,0.11,0.09,0.56,0.05
rocrail.csv,0.1,0.1,0.0,0.0,0.16,0.11,0.25,0.01
truevision.csv,0.3,0.63,0.48,0.51,0.55,0.27,0.0,0.56
