,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.53,0.52,0.4,0.48,0.43,0.48,0.25,0.24,0.34,0.51,0.23,0.27,0.92,0.44
doomlegacy.csv,0.74,0.61,0.66,0.67,0.48,0.47,0.66,0.51,0.49,0.99,0.57,0.82,0.59,0.65
empserver.csv,0.6,0.54,0.52,0.63,0.95,0.4,0.56,0.57,0.66,0.47,0.56,0.61,0.66,0.34
fritzing.csv,0.63,0.98,0.51,0.43,0.5,0.55,0.66,0.59,0.51,0.47,0.53,0.54,0.57,0.64
ifmo-game-1.csv,0.15,0.13,0.02,1.0,0.0,0.0,0.07,0.02,0.0,0.1,0.05,0.11,0.12,0.13
jparsec.csv,0.63,0.36,0.5,0.43,0.39,0.32,0.32,0.97,0.2,0.44,0.24,0.32,0.24,0.0
lmms.csv,0.32,0.09,0.98,0.53,0.54,0.51,0.68,0.21,0.5,0.55,0.6,0.67,0.66,0.65
lufa-lib.csv,0.6,0.62,0.46,0.46,0.29,0.21,0.52,0.54,0.98,0.4,0.42,0.31,0.43,0.4
pgui.csv,0.53,0.46,0.26,0.17,0.26,0.11,0.97,0.43,0.52,0.29,0.27,0.52,0.36,0.24
pi-qmc.csv,0.43,0.56,0.48,0.55,0.62,0.11,0.57,0.37,0.42,0.34,0.27,0.93,0.5,0.0
repositorium.csv,0.44,0.33,0.34,0.17,0.1,0.77,0.26,0.46,0.57,0.23,0.37,0.06,0.33,0.27
superwaba.csv,0.95,0.6,0.44,0.32,0.35,0.48,0.52,0.54,0.46,0.43,0.54,0.59,0.54,0.43
xapian.csv,0.47,0.72,0.41,0.7,0.69,0.31,0.7,0.49,0.51,0.59,0.9,0.37,0.67,0.56
zemljanka.csv,0.74,0.62,0.0,0.56,0.36,0.05,0.0,0.17,0.0,0.63,0.32,0.0,0.09,1.0
