,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.64,0.64,0.77,0.71,0.64,0.6,0.73,0.92,0.81,0.5,0.93,0.86,0.89,0.62
doomlegacy.csv,0.42,0.42,0.42,0.41,0.42,0.46,0.4,0.39,0.38,0.4,0.54,0.45,0.45,0.39
empserver.csv,0.5,0.45,0.55,0.47,0.51,0.64,0.62,0.57,0.56,0.47,0.57,0.52,0.49,0.8
fritzing.csv,0.55,0.56,0.51,0.47,0.54,0.43,0.44,0.46,0.53,0.43,0.57,0.55,0.51,0.47
ifmo-game-1.csv,0.9,0.89,0.8,0.86,0.5,0.0,0.88,0.5,0.0,0.83,0.0,0.67,0.97,0.95
jparsec.csv,0.47,0.98,0.4,0.42,0.37,0.43,0.41,0.58,0.51,0.36,0.4,0.46,0.43,0.45
lmms.csv,0.77,0.83,0.49,0.43,0.38,0.39,0.4,0.92,0.52,0.4,0.47,0.5,0.51,0.44
lufa-lib.csv,0.67,0.57,0.66,0.71,0.67,0.94,0.56,0.51,0.75,0.64,0.64,0.86,0.64,0.65
pgui.csv,0.57,0.6,0.8,0.74,0.92,0.7,0.73,0.82,0.58,0.79,0.89,0.59,0.8,0.93
pi-qmc.csv,0.63,0.56,0.57,0.55,0.39,0.94,0.58,0.64,0.54,0.75,0.94,0.6,0.74,0.46
repositorium.csv,0.61,0.93,0.85,0.81,0.8,0.88,0.74,0.56,0.57,0.92,0.65,0.96,0.86,0.79
superwaba.csv,0.55,0.44,0.58,0.45,0.74,0.58,0.6,0.61,0.56,0.51,0.62,0.68,0.64,0.51
xapian.csv,0.43,0.46,0.57,0.63,0.47,0.73,0.52,0.54,0.6,0.48,0.83,0.89,0.53,0.48
zemljanka.csv,0.36,0.44,0.4,0.42,0.4,0.41,0.4,0.39,0.52,0.32,0.38,0.41,0.43,0.45
