,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.33,0.34,0.22,0.18,0.33,0.35,0.22,0.06,0.18,0.31,0.11,0.04,0.01,0.56
doomlegacy.csv,0.42,0.49,0.45,0.44,0.76,0.42,0.57,0.81,0.5,0.04,0.28,0.2,0.7,0.33
empserver.csv,0.32,0.62,0.42,0.57,0.03,0.34,0.37,0.46,0.57,0.65,0.36,0.5,0.52,0.11
fritzing.csv,0.21,0.0,0.33,0.55,0.52,0.44,0.61,0.61,0.5,0.42,0.27,0.16,0.41,0.44
ifmo-game-1.csv,0.04,0.01,0.03,0.0,0.06,0.0,0.04,0.01,0.0,0.0,0.0,0.02,0.09,0.0
jparsec.csv,0.71,0.23,0.81,0.78,0.88,0.91,0.91,0.0,0.95,0.85,0.94,0.91,0.94,1.0
lmms.csv,0.13,0.01,0.0,0.58,0.7,0.59,0.65,0.07,0.49,0.58,0.47,0.38,0.53,0.44
lufa-lib.csv,0.32,0.4,0.25,0.36,0.27,0.17,0.42,0.65,0.01,0.27,0.3,0.14,0.29,0.44
pgui.csv,0.28,0.35,0.19,0.23,0.12,0.26,0.0,0.07,0.76,0.15,0.03,0.38,0.21,0.11
pi-qmc.csv,0.59,0.25,0.45,0.52,0.73,0.2,0.31,0.35,0.85,0.15,0.11,0.0,0.35,1.0
repositorium.csv,0.32,0.26,0.4,0.32,0.06,0.0,0.38,0.41,0.37,0.31,0.48,0.39,0.31,0.44
superwaba.csv,0.0,0.31,0.32,0.49,0.24,0.3,0.32,0.39,0.36,0.23,0.22,0.12,0.35,0.33
xapian.csv,0.84,0.47,0.34,0.32,0.42,0.22,0.43,0.7,0.44,0.27,0.0,0.04,0.49,0.78
zemljanka.csv,0.57,0.58,1.0,0.77,0.88,0.99,1.0,0.96,1.0,0.62,0.91,1.0,0.98,0.0
