,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,jasperreports.csv,bwapi.csv,irplus.csv,nebuladevice.csv,javaprofiler.csv,exl.csv
bwapi.csv,0.61,0.95,0.87,0.96,0.98,0.66,0.84,0.97,1.0,0.97,0.38,0.64,1.0,1.0,0.25,0.95,1.0,1.0,0.92
co-ode-owl-plugins.csv,0.61,0.57,0.36,0.3,0.65,0.51,0.51,0.4,0.08,0.13,0.82,0.92,0.57,0.65,0.92,0.41,0.72,0.17,0.85
exl.csv,0.39,0.62,0.11,0.31,0.34,0.54,0.53,0.36,0.35,0.48,0.36,0.73,0.2,0.38,0.08,0.48,0.42,0.53,0.15
firebreath.csv,0.29,0.19,0.95,0.49,0.38,0.57,0.37,0.35,0.21,0.66,0.62,0.35,0.73,0.18,0.58,0.68,0.17,0.53,0.31
irplus.csv,0.43,0.1,0.22,0.29,0.09,0.34,0.49,0.27,0.4,0.35,0.21,0.16,0.68,0.37,0.44,0.27,0.38,0.08,0.0
jasperreports.csv,0.75,0.52,0.71,0.96,0.85,0.63,0.42,0.88,1.0,0.98,0.66,0.14,0.43,0.13,0.03,0.55,0.75,0.08,0.46
javaprofiler.csv,0.57,0.52,0.53,0.91,0.96,0.54,0.7,0.79,0.4,0.42,0.53,0.85,0.86,0.42,0.22,0.43,0.93,0.19,1.0
konversation.csv,0.07,0.14,0.22,0.21,0.18,0.09,0.26,0.23,0.23,0.15,0.17,0.61,0.55,0.44,0.14,0.41,0.48,0.5,0.23
lazarus-ccr.csv,0.21,0.52,1.0,0.68,0.91,0.66,0.6,0.72,0.46,0.28,0.39,0.56,0.57,0.7,0.75,0.8,0.69,0.75,1.0
linuxsh.csv,0.68,0.33,0.31,0.11,0.06,0.6,0.33,0.18,0.06,0.14,0.84,0.82,0.23,0.13,0.94,0.11,0.07,0.08,0.31
migen.csv,0.29,0.14,0.56,0.28,0.2,0.14,0.26,0.17,0.04,0.22,0.39,0.57,0.23,0.23,0.03,0.2,0.18,0.28,0.46
moviesandbox.csv,0.57,0.76,0.29,0.57,0.49,0.34,0.42,0.69,0.27,0.23,0.31,0.72,0.68,0.3,0.56,0.41,0.38,0.53,0.62
mvnforum.csv,0.0,0.29,0.78,0.2,0.64,0.77,0.23,0.25,0.12,0.2,0.38,0.35,0.36,0.46,0.5,0.16,0.37,0.75,0.69
nebuladevice.csv,0.46,0.76,0.0,0.36,0.16,0.2,0.65,0.55,0.67,0.48,0.35,0.36,0.27,0.33,0.08,0.25,0.25,0.58,0.0
ontomorphtab.csv,0.54,0.19,0.35,0.3,0.21,0.37,0.56,0.33,0.38,0.53,0.36,0.33,0.43,0.28,0.22,0.3,0.63,0.11,0.23
opengs.csv,0.04,0.05,0.53,0.21,0.26,0.51,0.35,0.39,0.04,0.0,0.29,0.45,0.68,0.36,0.31,0.11,0.45,0.22,0.23
scite-ru.csv,0.86,0.62,0.27,0.4,0.48,0.71,0.65,0.53,0.23,0.64,0.51,0.79,0.93,0.99,0.89,0.64,0.85,0.94,0.85
tokratan.csv,0.18,0.19,0.35,0.16,0.18,0.43,0.26,0.19,0.0,0.02,0.04,0.23,0.64,0.58,0.03,0.16,0.63,0.64,0.08
xuggle.csv,0.54,0.24,0.6,0.3,0.19,0.54,0.4,0.44,0.42,0.43,0.4,0.23,0.7,0.96,0.64,0.59,0.8,0.58,0.15
