,gpsmid.csv,emftriple.csv,fluent-nhibernate.csv,columba.csv
columba.csv,0.64,0.02,0.14,0.52
emftriple.csv,0.44,0.39,0.0,0.39
fluent-nhibernate.csv,0.79,0.0,0.35,0.62
gpsmid.csv,0.85,0.08,0.2,0.32
