,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.62,0.25,0.18,0.57,0.3,0.64,0.68,0.27,0.24,0.25,0.32,0.58,0.07,0.4,0.2,0.49,0.2
blue-c.csv,0.15,0.61,0.22,0.87,0.19,0.66,0.28,0.25,0.09,0.61,0.33,0.47,0.09,0.5,0.29,0.44,0.74
factor.csv,0.18,0.59,0.23,1.0,0.09,1.0,0.08,0.26,0.0,0.89,0.57,0.53,0.31,0.27,0.33,0.32,0.93
fltk.csv,0.2,0.76,0.25,0.79,0.1,0.64,0.31,0.27,0.11,0.8,0.49,0.67,0.31,0.57,0.33,0.41,0.85
free-evolution.csv,0.29,0.51,0.18,0.89,0.0,0.73,0.27,0.28,0.14,0.45,0.48,0.57,0.18,0.54,0.32,0.38,0.67
icescrum.csv,0.33,0.58,0.15,0.94,0.12,0.68,0.46,0.42,0.26,0.33,0.41,0.92,0.0,0.61,0.32,0.68,0.73
jbasic.csv,0.21,0.6,0.24,0.67,0.09,0.66,0.32,0.24,0.25,0.35,0.33,0.5,0.0,0.44,0.27,0.4,0.51
kvs.csv,0.5,0.43,0.24,0.5,0.2,0.48,0.59,0.33,0.23,0.31,0.48,0.7,0.08,0.47,0.18,0.47,0.13
monetdb.csv,0.0,0.94,0.12,0.78,0.33,0.8,0.33,0.31,0.12,0.67,0.53,0.64,0.11,0.56,0.28,0.58,0.83
phet.csv,0.22,0.29,0.39,0.4,0.12,0.42,0.45,0.33,0.25,0.19,0.18,0.56,0.08,0.17,0.19,0.25,0.49
projecteqemu.csv,0.5,0.78,0.21,0.93,0.0,0.63,0.4,0.27,0.15,0.57,0.47,0.67,0.0,0.7,0.45,0.52,0.4
repositorium.csv,0.19,0.46,0.2,0.0,0.09,0.05,0.0,0.0,0.0,0.5,0.19,0.5,0.23,0.12,0.18,0.25,0.15
smarttag.csv,0.18,0.62,0.23,0.71,0.13,0.5,0.25,0.5,0.1,0.39,0.32,0.43,0.15,0.47,0.24,0.45,0.66
sumatrapdf.csv,0.22,0.59,0.22,0.56,0.09,0.48,0.3,0.26,0.17,0.68,0.33,0.59,0.12,0.47,0.24,0.4,0.71
voms.csv,0.29,0.64,0.24,1.0,0.44,0.75,0.25,0.26,0.11,0.73,0.46,0.56,0.5,0.59,0.4,0.45,0.67
vrjuggler.csv,0.18,0.58,0.26,0.42,0.0,0.62,0.44,0.0,0.32,0.07,0.55,0.5,0.11,0.37,0.25,0.25,0.64
wheat.csv,0.31,0.5,0.24,0.75,0.05,0.5,0.36,0.25,0.18,0.33,0.36,0.77,0.04,0.64,0.33,0.45,0.67
