,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.6,0.97,0.86,0.87,0.68,0.49,0.24,0.81,0.86,0.95,0.73,0.69,0.86,0.86,0.82,0.57,1.01
blue-c.csv,0.82,0.78,0.78,0.21,0.7,0.45,0.89,1.0,0.94,0.39,0.85,0.8,0.83,0.76,0.6,0.62,0.54
factor.csv,0.91,0.7,0.91,0.67,0.84,0.98,1.05,0.77,1.01,0.74,0.51,0.74,0.64,0.93,0.63,0.79,0.15
fltk.csv,0.83,0.46,0.72,0.36,0.79,0.59,0.93,0.97,0.95,0.37,0.47,0.8,0.64,0.58,0.57,0.68,0.33
free-evolution.csv,0.77,0.85,0.85,0.73,1.02,0.87,0.79,0.81,0.9,0.67,0.52,0.69,0.55,0.65,0.57,0.7,0.82
icescrum.csv,0.54,0.71,0.87,0.5,0.81,0.43,0.46,0.44,0.61,0.78,0.58,0.61,1.07,0.49,0.66,0.3,0.55
jbasic.csv,0.71,0.73,0.95,0.52,0.8,0.44,0.88,0.75,0.69,1.0,0.73,0.9,1.0,1.0,0.64,0.79,1.05
kvs.csv,0.35,0.89,0.7,0.97,0.54,0.99,0.33,0.93,0.83,0.92,0.6,0.76,0.82,0.71,0.88,0.57,1.11
monetdb.csv,1.0,0.87,0.92,0.45,0.89,0.87,0.65,0.63,0.9,0.62,0.44,0.71,0.74,0.54,0.72,0.49,0.65
phet.csv,0.83,0.96,0.5,1.07,0.83,0.86,0.55,0.93,0.71,1.07,0.94,0.7,1.01,1.02,0.88,0.87,0.98
projecteqemu.csv,0.9,0.52,0.83,0.57,1.0,0.49,0.55,0.71,0.89,0.43,0.51,0.86,1.0,0.35,0.62,0.48,0.96
repositorium.csv,0.87,0.85,0.86,1.0,0.89,1.02,1.0,1.0,1.0,0.97,0.9,0.76,0.42,0.99,0.82,0.89,1.06
smarttag.csv,0.84,0.68,0.86,0.45,0.94,0.85,0.95,0.38,0.95,0.72,0.71,0.91,0.83,0.89,0.69,0.66,0.91
sumatrapdf.csv,0.78,0.87,0.95,0.92,0.97,0.89,0.95,1.0,0.8,0.29,0.91,0.65,0.88,0.91,0.85,0.91,0.74
voms.csv,0.81,0.73,0.73,0.7,0.19,0.59,0.89,0.76,0.92,0.32,0.49,0.84,0.64,0.49,0.66,0.59,0.7
vrjuggler.csv,0.77,0.71,0.71,0.88,1.09,0.67,0.7,1.0,0.52,1.18,0.87,0.87,0.75,0.82,0.81,0.95,0.88
wheat.csv,0.58,0.86,0.8,0.47,0.93,0.92,0.68,0.82,0.89,0.75,0.65,0.38,0.99,0.76,0.58,0.59,0.91
