,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.66,0.81,0.8,0.65,0.72,0.47,0.64,1.0,0.68,0.82,0.89
bdbbasic.csv,0.68,0.8,0.7,0.66,0.81,0.57,0.32,0.61,0.58,0.58,0.46
bibletime.csv,0.46,0.42,0.54,0.62,0.79,0.92,1.0,0.97,0.63,0.32,0.88
crux-framework.csv,0.83,0.65,0.82,0.86,0.75,0.93,0.91,0.79,0.74,0.69,0.09
etherboot.csv,1.0,0.46,1.0,1.0,0.55,0.97,0.55,0.51,0.97,1.0,0.78
gnukeda.csv,0.89,0.58,0.85,0.32,0.7,0.46,0.85,0.69,0.92,0.88,0.86
google-gears.csv,0.49,0.43,0.64,0.59,0.77,0.95,0.74,0.97,0.42,0.47,0.57
jnode.csv,0.94,0.72,0.37,0.74,0.96,1.0,0.81,1.0,0.89,0.93,1.02
openmeetings.csv,0.48,0.18,0.48,0.87,0.55,0.54,0.65,0.53,0.75,0.58,0.71
pgui.csv,0.71,0.54,1.0,0.64,0.73,0.72,0.61,0.44,0.55,0.67,0.99
wxcrp.csv,0.45,0.99,0.96,0.86,1.0,0.98,0.9,0.98,0.69,0.56,0.75
