,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.52,0.52,0.26,0.62,0.37,0.63,0.27,0.51,0.77,0.44
ivatamasks.csv,0.42,0.85,0.11,0.8,0.8,0.58,0.37,0.29,0.76,0.37
orc.csv,0.08,0.69,0.43,0.66,0.18,0.78,0.36,0.25,0.55,0.46
plato.csv,0.43,0.99,0.15,0.75,0.78,0.91,0.53,0.31,0.84,0.36
rodin-b-sharp.csv,0.69,0.61,0.42,0.38,0.26,0.68,0.79,0.22,0.49,0.18
umber.csv,0.84,0.93,0.2,0.83,0.65,0.9,0.56,0.25,0.6,0.32
unicase.csv,0.67,0.9,0.23,0.73,0.43,0.81,0.56,0.39,0.8,0.32
uwom.csv,0.12,0.58,0.28,0.27,0.49,0.6,0.22,0.19,0.43,0.62
vienna-add-in.csv,0.45,0.76,0.13,0.65,0.8,0.55,0.26,0.27,0.51,0.3
wpdev.csv,0.41,1.0,0.19,0.81,0.78,0.91,0.53,0.25,0.84,0.43
