,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.26,0.14,0.22,0.17,0.18,0.16,0.26,0.22,0.37,0.33,0.3
ivatamasks.csv,0.32,0.24,0.28,0.28,0.4,0.2,0.3,0.31,0.32,0.4,0.36
java-gnome.csv,0.18,0.19,0.19,0.22,0.31,0.32,0.21,0.24,0.3,0.13,0.18
orc.csv,0.28,0.14,0.27,0.17,0.35,0.16,0.15,0.29,0.38,0.4,0.16
plato.csv,0.32,0.39,0.29,0.43,0.4,0.38,0.38,0.38,0.27,0.4,0.39
rodin-b-sharp.csv,0.34,0.35,0.23,0.4,0.39,0.38,0.25,0.38,0.3,0.4,0.33
tycho.csv,0.3,0.23,0.21,0.37,0.22,0.26,0.32,0.19,0.32,0.29,0.39
umber.csv,0.14,0.35,0.26,0.3,0.26,0.32,0.3,0.37,0.37,0.29,0.15
unicase.csv,0.23,0.34,0.29,0.39,0.3,0.4,0.33,0.39,0.36,0.33,0.34
vienna-add-in.csv,0.32,0.36,0.28,0.4,0.37,0.26,0.32,0.3,0.32,0.33,0.38
wpdev.csv,0.34,0.39,0.29,0.43,0.4,0.42,0.38,0.4,0.38,0.4,0.39
