,owlib.csv,xharbour.csv,prelude.csv,graphmak.csv,octave.csv,checker-framework.csv,zengine.csv,zildo.csv,opengs.csv,tokratan.csv,jmol.csv,minig.csv,moving-pictures.csv,zabbix.csv,xfce.csv,ngl.csv,mesa3d.csv,nunit.csv,elvishrayrenderer.csv
checker-framework.csv,0.7,0.23,0.1,1.0,0.41,0.85,0.21,0.8,0.91,0.73,0.5,0.76,0.82,0.66,0.57,0.81,0.43,0.88,0.59
elvishrayrenderer.csv,0.2,0.55,1.0,0.56,0.36,0.46,0.11,0.77,0.7,0.33,0.48,0.48,0.61,0.05,0.9,0.22,0.62,0.65,0.68
graphmak.csv,0.75,0.07,0.1,0.76,0.68,0.38,0.42,0.55,0.72,0.53,0.53,0.67,0.96,0.74,0.06,0.79,0.04,0.18,0.65
jmol.csv,0.88,1.0,0.81,0.92,0.86,1.0,1.0,0.93,0.72,1.0,0.67,0.83,0.64,0.78,0.95,0.8,1.0,0.85,0.85
mesa3d.csv,0.32,0.61,0.33,0.2,0.59,0.46,0.42,0.59,0.33,0.8,0.68,0.59,0.43,0.28,0.81,0.71,0.54,0.55,0.68
minig.csv,0.58,0.33,1.0,0.24,0.45,0.54,0.74,0.25,0.22,0.47,0.97,0.67,0.89,0.62,0.41,0.64,0.3,0.38,0.65
moving-pictures.csv,0.38,0.75,0.05,0.52,0.5,0.46,0.29,0.7,0.85,0.67,0.35,0.52,0.61,0.42,0.09,0.61,0.0,0.62,0.47
ngl.csv,0.7,0.87,0.98,0.68,0.73,0.92,0.71,0.75,0.94,0.73,0.9,0.8,0.89,0.91,0.14,0.63,0.12,0.75,0.68
nunit.csv,0.64,0.75,0.95,0.52,0.77,0.69,0.63,0.82,0.78,0.27,0.77,0.52,0.68,0.31,0.11,0.53,0.19,0.65,0.32
octave.csv,0.56,0.33,0.14,0.2,0.55,0.15,0.5,0.2,0.91,0.4,0.53,0.48,0.5,0.06,0.41,0.36,0.2,0.5,0.41
opengs.csv,0.33,0.68,0.05,0.56,0.14,0.23,0.47,0.45,0.74,0.6,0.15,0.48,0.36,0.57,0.56,0.24,0.57,0.45,0.59
owlib.csv,0.71,0.76,0.48,0.8,0.68,0.62,0.45,0.73,0.61,0.67,0.72,0.78,0.82,0.52,0.58,0.55,0.7,0.7,0.76
prelude.csv,0.98,0.98,0.74,1.0,0.95,0.92,0.76,0.95,1.0,0.87,0.96,0.91,0.96,0.74,0.84,0.86,0.93,0.9,0.85
tokratan.csv,0.5,0.98,0.12,0.68,0.14,0.46,0.84,0.68,0.39,0.4,0.46,0.26,0.36,0.54,0.72,0.48,0.88,0.4,0.47
xfce.csv,0.64,0.63,0.4,0.8,0.55,0.69,0.42,0.8,0.89,0.47,0.57,0.65,0.71,0.75,0.67,0.65,0.64,0.78,0.47
xharbour.csv,0.99,0.77,0.45,0.92,0.59,0.77,0.92,0.8,1.0,0.87,1.0,0.85,0.64,0.82,0.83,0.85,0.88,0.85,0.71
zabbix.csv,0.54,0.63,0.24,0.6,0.32,0.62,0.5,0.64,0.63,0.67,0.26,0.63,0.21,0.51,0.58,0.81,0.7,0.55,0.79
zengine.csv,0.97,0.95,0.83,0.96,1.0,0.85,0.87,1.0,0.91,1.0,0.93,0.96,1.0,1.0,0.76,0.96,0.74,0.95,1.0
zildo.csv,0.83,0.95,0.6,0.88,0.45,0.62,0.55,0.68,0.06,0.53,0.54,0.35,0.29,0.71,0.6,0.38,0.65,0.3,0.79
