,critterding.csv,firebird.csv,jcae.csv,nosleepsoftware.csv,hydrogen.csv,genecys.csv,monetdb.csv,riff-evolve.csv,mimosa.csv,alpine.csv,acdk.csv,quarkplayer.csv,zoolib.csv,virtuoso.csv,kftpgrabber.csv,xined.csv,openmsx.csv,fmri-dmt.csv,autowikibrowser.csv,libarchive.csv
acdk.csv,0.33,0.62,0.37,0.1,0.47,0.82,0.57,0.66,0.71,0.21,0.69,0.15,0.23,0.47,0.61,0.39,0.18,0.18,0.65,0.57
alpine.csv,0.62,0.54,0.32,0.1,0.3,0.93,0.46,0.66,0.58,0.39,0.47,0.12,0.21,0.41,0.66,0.32,0.37,0.17,0.66,0.61
autowikibrowser.csv,0.43,0.64,0.21,0.47,0.44,0.67,0.55,0.54,0.54,0.2,0.57,0.13,0.14,0.39,0.59,0.32,0.46,0.16,0.68,0.52
critterding.csv,0.68,0.54,0.19,0.37,0.25,0.88,0.49,0.67,0.64,0.13,0.48,0.14,0.09,0.38,0.5,0.33,0.39,0.17,0.58,0.56
firebird.csv,0.59,0.6,0.2,0.07,0.42,0.8,0.58,0.7,0.65,0.17,0.51,0.14,0.17,0.42,0.64,0.36,0.39,0.17,0.65,0.62
fmri-dmt.csv,0.46,0.44,0.22,0.22,0.13,0.63,0.24,0.6,0.63,0.08,0.2,0.15,0.18,0.26,0.23,0.31,0.53,0.52,0.51,0.53
genecys.csv,0.59,0.51,0.19,0.4,0.14,0.83,0.45,0.56,0.57,0.13,0.43,0.08,0.08,0.37,0.38,0.24,0.54,0.15,0.45,0.55
hydrogen.csv,0.52,0.69,0.19,0.41,0.54,0.58,0.49,0.66,0.64,0.15,0.45,0.12,0.16,0.38,0.58,0.0,0.58,0.14,0.62,0.59
jcae.csv,0.11,0.37,0.53,0.08,0.55,0.34,0.56,0.37,0.41,0.38,0.69,0.06,0.11,0.42,0.51,0.32,0.06,0.09,0.55,0.0
kftpgrabber.csv,0.46,0.42,0.14,0.0,0.16,0.12,0.54,0.29,0.42,0.3,0.68,0.16,0.1,0.4,0.71,0.37,0.22,0.1,0.54,0.22
libarchive.csv,0.54,0.64,0.2,0.37,0.39,0.82,0.51,0.64,0.64,0.18,0.54,0.15,0.14,0.4,0.54,0.35,0.5,0.17,0.63,0.65
mimosa.csv,0.58,0.66,0.23,0.43,0.25,0.81,0.54,0.65,0.79,0.17,0.61,0.11,0.17,0.47,0.47,0.35,0.48,0.14,0.57,0.57
monetdb.csv,0.46,0.61,0.39,0.11,0.19,0.52,0.62,0.39,0.18,0.3,0.62,0.09,0.08,0.55,0.59,0.45,0.25,0.12,0.44,0.32
nosleepsoftware.csv,0.29,0.32,0.0,0.59,0.0,0.06,0.13,0.06,0.0,0.13,0.02,0.0,0.06,0.0,0.0,0.0,0.2,0.0,0.35,0.14
openmsx.csv,0.34,0.35,0.2,0.21,0.22,0.92,0.29,0.5,0.36,0.07,0.0,0.12,0.14,0.0,0.32,0.3,0.55,0.23,0.52,0.3
quarkplayer.csv,0.23,0.18,0.1,0.0,0.11,0.03,0.03,0.1,0.4,0.06,0.17,0.22,0.11,0.14,0.05,0.18,0.3,0.17,0.2,0.41
riff-evolve.csv,0.5,0.52,0.22,0.0,0.54,0.77,0.57,0.7,0.66,0.19,0.67,0.15,0.18,0.42,0.63,0.36,0.37,0.17,0.6,0.5
virtuoso.csv,0.59,0.68,0.19,0.41,0.23,0.7,0.48,0.63,0.56,0.15,0.48,0.12,0.16,0.48,0.46,0.17,0.57,0.14,0.6,0.04
xined.csv,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0
zoolib.csv,0.32,0.62,0.35,0.0,0.43,0.74,0.54,0.65,0.53,0.17,0.42,0.14,0.32,0.24,0.61,0.43,0.31,0.12,0.58,0.11
