,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.58,0.88,0.76,0.9,0.49,0.9,0.98,0.85,0.51,0.73,0.89,0.79,0.52
e-bio-flow.csv,0.88,0.83,0.52,0.59,0.78,0.75,0.57,0.48,0.8,0.64,0.59,0.77,0.88
jas.csv,0.78,0.48,1.0,0.62,0.95,0.6,0.63,0.89,0.49,0.83,0.76,0.57,0.3
jbpm.csv,0.83,0.91,1.0,0.22,1.0,0.83,1.0,0.81,1.0,0.92,1.0,0.97,1.01
jgossipforum.csv,0.78,0.53,0.85,0.85,0.71,0.68,0.82,0.65,0.07,0.55,0.62,0.52,1.0
jmonkeyengine.csv,0.85,0.46,0.9,0.53,0.98,0.5,0.47,0.81,0.85,0.89,0.83,0.61,0.98
joustsim.csv,0.91,0.91,0.73,0.5,0.7,0.9,0.58,0.87,0.24,0.11,0.85,0.62,0.45
log4net.csv,0.64,0.82,0.54,0.76,0.12,0.88,1.0,0.67,1.0,0.39,0.64,0.87,1.01
ngl.csv,0.82,0.61,0.78,0.75,0.88,0.83,0.61,0.66,0.56,0.43,0.79,0.49,0.64
piccolo2d.csv,0.76,0.49,0.34,0.57,0.38,0.76,0.62,0.58,1.0,0.56,0.63,0.65,1.0
pustefix.csv,0.95,0.82,0.71,0.57,0.75,0.42,0.55,0.72,0.85,1.0,0.94,0.79,0.89
reaper3d.csv,0.95,0.51,0.94,0.84,1.02,0.86,0.9,0.62,0.46,0.82,0.41,0.69,0.75
sblim.csv,0.88,0.24,0.46,0.58,1.01,0.8,0.73,0.55,1.0,0.41,0.89,0.77,1.0
