,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.52,0.57,0.68,0.61,0.54,0.61,0.63,0.95,0.56,0.33,0.48,0.86,0.6,0.57,0.65
cornerstone.csv,0.97,0.82,0.57,0.98,0.47,0.4,0.75,0.9,0.61,0.34,0.82,0.84,0.37,0.4,1.0
esmf.csv,0.83,0.43,0.88,0.67,0.78,0.84,0.67,0.53,0.6,0.97,0.59,0.81,0.72,0.94,0.84
frogatto.csv,0.52,0.59,0.65,0.62,0.61,0.66,0.41,0.93,0.53,0.54,0.74,0.72,0.4,0.57,0.61
gretl.csv,0.55,0.68,0.86,0.62,0.58,0.5,0.95,0.77,0.47,0.46,0.47,0.65,0.94,0.32,0.53
kindb.csv,0.49,0.7,0.67,0.61,0.55,0.7,0.45,0.89,0.75,1.0,0.58,0.7,0.51,0.22,0.61
libtorrent.csv,0.93,0.71,0.66,0.7,0.88,0.9,0.98,0.66,0.61,0.71,0.49,0.6,0.56,0.88,0.97
mia.csv,0.58,0.82,0.96,0.69,0.82,0.73,0.93,0.49,0.68,0.76,0.7,0.77,1.0,0.65,0.79
open-beos.csv,0.63,0.48,0.6,0.44,0.5,0.65,0.72,0.65,0.58,0.63,0.45,0.59,0.49,0.94,0.75
pidgin.csv,0.79,0.75,0.72,0.59,0.43,0.82,0.81,0.8,0.63,0.81,0.67,0.58,0.54,0.76,0.85
quantlib.csv,0.52,1.0,1.0,1.0,1.0,0.76,0.87,0.89,1.0,1.0,0.74,0.83,1.0,1.0,0.5
riff-evolve.csv,0.65,0.51,0.51,0.59,0.43,0.61,0.35,0.49,0.7,0.8,0.58,0.41,0.44,0.53,0.85
tokratan.csv,0.63,0.54,0.76,0.63,0.61,0.66,0.39,0.91,0.53,0.71,0.51,0.45,0.7,0.35,0.88
upp-mirror.csv,0.67,0.54,0.46,0.73,0.62,0.69,0.87,0.66,0.71,0.81,0.52,0.71,0.66,0.43,0.45
wxcrp.csv,0.5,0.92,0.85,0.95,0.71,0.83,0.81,0.99,0.65,0.6,0.7,0.99,0.62,0.88,0.84
