,n2cms.csv,nug.csv,codeblocks.csv,bulmages.csv,uclmda.csv,dataobjectsdotnet.csv
bulmages.csv,0.45,0.44,0.0,0.34,0.67,0.21
codeblocks.csv,0.53,0.31,0.83,0.27,0.98,0.51
dataobjectsdotnet.csv,0.4,0.24,0.92,0.27,0.89,0.58
n2cms.csv,0.7,0.24,0.9,0.28,0.93,0.46
nug.csv,0.4,0.59,0.5,0.21,0.96,0.47
uclmda.csv,0.0,0.0,0.79,0.14,1.0,0.32
