,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.29,0.94,0.72,0.51,0.85,0.17,0.35,0.26,0.5,0.31
cities3d.csv,0.0,0.51,0.77,0.38,0.62,0.18,0.3,0.0,0.71,0.27
firebird.csv,0.19,0.6,0.67,0.5,0.84,0.11,0.26,0.21,0.39,0.3
hydrogen.csv,0.17,0.46,0.52,0.36,0.48,0.08,0.48,0.0,0.4,0.2
lphant.csv,0.15,0.52,0.53,0.39,0.51,0.13,0.24,0.29,0.65,0.23
open-ms.csv,0.19,0.63,0.57,0.41,0.79,0.09,0.48,0.26,0.59,0.27
qgo.csv,0.15,0.84,0.53,0.49,0.64,0.09,0.29,0.23,0.39,0.22
rhex.csv,0.33,0.5,0.49,0.35,0.63,0.1,0.32,0.13,1.0,0.23
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0
yield.csv,0.15,0.51,0.62,0.39,0.75,0.09,0.19,0.22,0.47,0.26
