,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.12,0.03,0.17,0.33,0.09,0.34,0.2,0.58,0.52,0.3
cities3d.csv,0.0,0.63,0.06,0.54,0.07,0.29,0.14,0.0,0.06,0.55
firebird.csv,0.26,0.34,0.3,0.35,0.07,0.63,0.26,0.86,0.82,0.29
hydrogen.csv,0.64,1.0,1.0,1.0,1.0,0.99,0.14,0.09,1.0,1.0
lphant.csv,0.68,0.6,0.67,0.66,0.75,0.53,0.45,0.23,0.21,0.67
open-ms.csv,0.31,0.37,0.59,0.37,0.04,0.68,0.11,0.33,0.21,0.35
qgo.csv,0.77,0.14,0.82,0.39,0.26,0.87,0.29,0.63,0.94,0.73
rhex.csv,0.25,0.57,0.28,0.41,0.16,0.5,0.19,0.3,0.0,0.37
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0
yield.csv,0.62,0.66,0.47,0.7,0.22,1.0,0.55,0.81,0.7,0.61
