,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.49,0.02,0.19,0.38,0.67,0.43,0.45,0.0,0.42,0.33,0.35,0.0,0.0,0.41
avifile.csv,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.17,0.18,0.26,0.22,0.0,0.0,0.5
delphilhlplib.csv,0.49,0.48,0.3,0.44,0.0,0.56,0.52,0.29,0.63,0.43,0.22,0.0,0.05,0.66
fluidium.csv,0.34,0.44,0.19,0.69,0.78,0.29,0.0,0.4,0.42,0.45,0.57,0.6,0.74,0.44
gnome-jabber.csv,0.8,0.87,1.0,0.97,0.72,0.96,0.9,0.91,0.71,0.97,0.87,0.4,0.89,0.88
ipfilter.csv,0.83,0.9,1.0,0.71,0.94,0.08,0.66,0.97,0.89,0.48,0.74,1.0,0.05,0.62
jparsec.csv,0.91,0.96,0.85,0.75,1.0,0.77,0.69,0.89,0.92,0.01,0.41,1.0,0.68,0.66
loki-lib.csv,0.45,0.69,0.81,0.99,0.44,0.61,0.38,0.54,0.49,0.64,0.0,0.4,0.89,0.25
mumble.csv,0.12,0.21,0.15,0.12,0.94,0.16,0.07,0.11,0.0,0.06,0.11,0.0,0.37,0.03
opengs.csv,0.23,0.29,0.07,0.13,0.83,0.0,0.24,0.17,0.14,0.45,0.04,0.0,0.21,0.12
owfs.csv,0.35,0.0,0.52,0.04,0.67,0.13,0.03,0.11,0.06,0.1,0.02,0.2,0.11,0.06
rectracker.csv,0.71,0.98,0.0,0.99,1.0,0.9,0.9,0.8,0.8,0.81,0.96,1.0,0.95,1.0
rockbox.csv,0.6,0.33,0.26,0.13,0.0,0.58,0.24,0.31,0.37,0.43,0.33,0.4,0.37,0.0
zealos.csv,0.37,0.58,0.44,0.0,0.33,0.4,0.59,0.49,0.57,0.33,0.39,0.6,0.32,0.09
