,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.5,0.63,0.22,0.57,0.57,0.53,0.63,0.32,0.6,0.15
firebird.csv,0.64,0.78,0.2,0.58,0.54,0.56,0.58,0.43,0.6,0.18
fmri-dmt.csv,0.44,0.6,0.2,0.45,0.47,0.23,0.36,0.42,0.23,0.43
htmlunit.csv,0.62,0.75,0.21,0.51,0.55,0.57,0.58,0.49,0.55,0.16
monetdb.csv,0.64,0.77,0.42,0.43,0.33,0.49,0.5,0.29,0.6,0.17
ontomorphtab.csv,0.65,0.77,0.26,0.55,0.57,0.58,0.54,0.48,0.57,0.15
smarttag.csv,0.66,0.68,0.26,0.51,0.49,0.33,0.64,0.44,0.54,0.15
taokgame.csv,0.35,0.45,0.71,0.34,0.41,0.13,0.61,0.28,0.47,0.17
webdriver.csv,0.66,0.69,0.33,0.5,0.51,0.47,0.75,0.44,0.5,0.08
xbplayer.csv,0.5,0.68,0.33,0.54,0.59,0.54,0.62,0.38,0.58,0.15
