,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.57,0.62,0.39,0.49,0.68,0.48,0.3,0.56,0.93,0.54,0.31,0.47,0.09,0.82,0.62,0.64,0.63,0.13,0.13,0.57
badtrinity-zero.csv,0.22,0.0,0.52,0.67,0.56,0.0,0.3,0.63,0.91,0.53,0.15,0.57,0.08,0.0,0.51,0.71,0.56,0.0,0.26,0.57
boost.csv,0.44,0.48,0.52,0.59,0.68,0.65,0.25,0.58,0.81,0.49,0.13,0.6,0.14,0.63,0.62,0.69,0.56,0.66,0.17,0.52
critterding.csv,0.46,0.67,0.39,0.58,0.74,0.4,0.38,0.49,0.77,0.41,0.13,0.53,0.12,0.67,0.61,0.67,0.53,0.78,0.18,0.55
enzo.csv,0.55,0.51,0.48,0.67,0.74,0.47,0.35,0.54,0.75,0.47,0.14,0.45,0.12,0.8,0.63,0.8,0.55,0.9,0.17,0.57
etics.csv,0.48,0.59,0.65,0.47,0.63,0.57,0.19,0.54,0.73,0.53,0.23,0.39,0.18,0.67,0.66,0.67,0.59,0.55,0.13,0.47
fmri-dmt.csv,0.51,0.45,0.33,0.52,0.64,0.47,0.13,0.47,0.62,0.24,0.08,0.5,0.13,0.63,0.41,0.57,0.21,0.77,0.48,0.37
genecys.csv,0.56,0.61,0.3,0.59,0.75,0.33,0.33,0.47,0.82,0.47,0.13,0.52,0.08,0.81,0.46,0.78,0.38,0.84,0.17,0.4
gusanos.csv,0.19,0.6,0.44,0.63,0.61,0.49,0.29,0.61,0.86,0.49,0.27,0.55,0.07,0.83,0.59,0.61,0.62,0.04,0.17,0.59
kftpgrabber.csv,0.05,0.55,0.42,0.4,0.45,0.5,0.16,0.41,0.03,0.55,0.21,0.48,0.14,0.76,0.56,0.53,0.7,0.19,0.13,0.49
kvs.csv,0.41,0.39,0.41,0.5,0.21,0.24,0.61,0.31,0.06,0.47,0.12,0.44,0.05,0.51,0.51,0.55,0.36,0.78,0.15,0.34
mcore3d.csv,0.06,0.41,0.35,0.46,0.74,0.52,0.33,0.51,0.86,0.5,0.12,0.22,0.2,0.53,0.59,0.53,0.58,0.13,0.17,0.5
modplug.csv,0.55,0.57,0.39,0.57,0.79,0.51,0.36,0.59,0.92,0.53,0.15,0.51,0.12,0.74,0.63,0.83,0.53,0.67,0.1,0.57
monetdb.csv,0.45,0.52,0.13,0.45,0.67,0.41,0.0,0.29,0.73,0.62,0.27,0.35,0.08,0.52,0.59,0.63,0.54,0.16,0.2,0.53
ogrehg.csv,0.41,0.51,0.42,0.56,0.7,0.58,0.19,0.61,0.92,0.54,0.24,0.54,0.17,0.59,0.67,0.71,0.54,0.67,0.24,0.57
passwordsafe.csv,0.51,0.55,0.41,0.6,0.73,0.47,0.19,0.63,0.9,0.56,0.14,0.58,0.15,0.61,0.7,0.82,0.55,0.44,0.09,0.67
projecteqemu.csv,0.58,0.48,0.45,0.49,0.63,0.55,0.15,0.57,0.66,0.51,0.22,0.51,0.18,0.6,0.72,0.66,0.61,0.78,0.28,0.62
quarkplayer.csv,0.41,0.15,0.3,0.42,0.32,0.35,0.31,0.19,0.06,0.03,0.06,0.45,0.24,0.13,0.36,0.24,0.05,0.56,0.18,0.19
reactos-mirror.csv,0.61,0.62,0.39,0.58,0.73,0.57,0.28,0.53,0.82,0.57,0.17,0.47,0.14,0.71,0.65,0.75,0.6,0.69,0.2,0.58
xbplayer.csv,0.39,0.52,0.43,0.58,0.55,0.6,0.33,0.47,0.62,0.59,0.18,0.47,0.12,0.65,0.58,0.67,0.57,0.18,0.18,0.53
