,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.8,0.88,0.8,0.83,0.84,0.5,0.88,0.63,0.79,0.33,0.85,0.22,0.67,0.73,0.96,0.75
fleet-simulator.csv,0.9,0.9,0.36,0.88,0.87,0.62,0.72,0.78,0.93,0.53,0.99,0.04,0.78,0.82,0.76,0.81
geogebra.csv,0.77,0.69,0.33,0.87,0.71,0.91,0.82,0.71,0.7,0.49,0.67,0.65,0.63,0.46,0.94,0.83
gtad.csv,0.18,0.87,0.33,0.91,0.54,0.74,0.47,0.63,1.12,0.61,0.88,0.67,0.67,0.73,0.92,0.61
hibernate.csv,0.49,0.87,1.09,0.78,0.56,0.84,0.5,0.5,0.64,0.95,0.68,0.69,0.53,0.52,0.73,0.67
ipfire-wall.csv,0.49,0.84,1.0,0.7,0.33,0.85,0.56,0.71,0.71,0.43,0.76,0.32,0.63,0.57,0.87,0.63
irplus.csv,0.46,0.84,0.03,0.68,0.36,0.75,0.47,0.5,0.28,0.42,0.72,0.61,0.65,0.45,0.83,0.65
mumble.csv,0.52,0.67,1.28,0.69,1.0,0.68,0.25,0.85,1.22,0.53,0.65,0.02,0.64,0.65,0.85,0.81
ondex.csv,0.7,1.0,1.06,0.92,0.61,0.86,0.53,0.76,1.08,0.91,0.54,0.76,0.72,0.65,0.88,0.53
powerfolder.csv,0.54,0.76,1.02,0.82,0.59,0.82,0.49,0.73,0.09,0.69,0.74,0.59,0.61,0.68,0.78,0.52
projectts.csv,0.51,0.61,0.9,0.79,0.6,0.63,0.57,0.81,0.72,0.4,0.72,0.43,0.64,0.51,0.94,0.82
quantlib.csv,0.68,0.97,1.02,0.88,1.0,0.9,1.0,0.84,1.15,0.98,1.0,1.19,1.0,1.0,0.36,0.98
smartgwt.csv,0.58,0.7,0.33,0.52,0.49,0.7,0.55,0.77,0.13,0.35,0.73,1.3,0.73,0.7,0.72,0.57
tweetsharp.csv,1.04,0.68,0.97,0.67,0.78,0.96,0.57,0.74,1.09,1.05,0.78,1.26,0.79,0.84,0.92,0.41
wxlua.csv,0.99,0.8,0.41,0.63,0.77,0.81,0.79,0.88,0.17,0.23,0.8,1.27,0.83,0.85,0.71,0.74
