,owfs.csv,utgb.csv,chipster.csv,sidekar.csv,jgnash.csv,jsr308-langtools.csv,continuum-ide.csv,azureus.csv,ctrlr.csv,jppf-project.csv,stemkit.csv,galaxium.csv,ingex.csv,itext.csv,octet.csv,lite.csv,bzbyte.csv,carabiner.csv,tigermud.csv,ta3d.csv
azureus.csv,0.64,1.0,0.94,1.0,1.0,0.63,1.0,0.79,0.43,0.77,1.0,0.97,0.76,0.68,0.86,0.93,0.91,1.0,1.0,1.0
bzbyte.csv,1.0,0.89,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.93,1.0,0.57,0.0,0.0,1.0,1.0,0.79,1.0,1.0,0.4
carabiner.csv,0.73,0.49,0.76,0.44,0.32,0.1,0.94,0.09,0.19,0.49,0.67,0.34,0.76,0.38,0.57,0.87,0.58,0.77,0.23,0.46
chipster.csv,0.45,0.26,0.68,0.5,0.28,0.37,1.0,0.48,0.48,0.64,0.67,0.51,0.03,0.71,0.29,0.0,0.12,0.27,0.29,0.57
continuum-ide.csv,1.0,0.11,0.12,0.19,0.32,0.37,0.76,0.2,0.19,0.26,0.17,0.26,0.07,0.59,0.29,0.6,0.39,0.09,0.17,0.14
ctrlr.csv,0.27,0.6,0.44,0.2,0.24,0.27,0.12,0.68,0.76,0.6,0.17,0.09,0.14,0.03,0.14,0.13,0.53,0.05,0.49,0.2
galaxium.csv,0.64,0.71,0.67,0.48,0.84,0.7,0.65,0.71,0.1,0.95,0.33,0.74,0.62,0.59,0.57,0.2,0.58,0.36,0.31,0.63
ingex.csv,0.27,0.8,0.77,0.83,0.76,0.93,0.41,0.61,0.05,0.64,0.33,0.66,0.55,0.65,0.86,0.8,0.4,0.41,0.26,0.46
itext.csv,0.64,0.69,0.91,0.5,0.92,0.6,0.88,0.71,0.29,0.98,0.5,0.8,0.76,0.74,1.0,1.0,0.91,0.41,0.46,0.8
jgnash.csv,0.45,0.29,0.47,0.8,0.6,0.53,0.94,0.32,0.71,0.61,0.83,0.91,0.59,0.44,0.29,0.87,0.79,0.36,0.34,0.77
jppf-project.csv,0.55,0.77,0.73,0.8,0.68,0.93,0.18,0.95,0.86,0.74,0.83,0.89,0.59,0.53,0.71,0.47,0.6,0.95,0.74,0.69
jsr308-langtools.csv,0.73,0.71,0.67,0.77,0.76,0.93,0.59,0.16,0.19,0.45,0.67,0.63,0.62,0.65,0.57,0.8,0.4,0.36,0.4,0.6
lite.csv,0.45,0.49,0.36,0.16,0.24,0.23,0.35,0.36,0.0,0.26,0.0,0.26,0.17,0.26,0.57,0.93,0.28,0.14,0.17,0.14
octet.csv,0.73,0.4,0.86,0.78,0.6,0.9,1.0,0.36,0.19,0.55,0.17,0.74,0.69,0.85,0.86,0.93,0.21,0.68,0.37,0.29
owfs.csv,0.55,0.6,0.62,0.53,0.48,0.4,1.0,0.59,0.19,0.73,0.5,0.71,0.59,0.94,0.86,0.93,0.56,0.86,0.31,0.51
sidekar.csv,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
stemkit.csv,0.18,0.31,0.24,0.44,0.32,0.43,0.06,0.25,0.24,0.23,0.67,0.17,0.28,0.35,0.0,0.07,0.09,0.14,0.49,0.29
ta3d.csv,0.0,0.34,0.42,0.62,0.32,0.73,0.24,0.73,0.71,0.41,1.0,0.29,0.0,0.53,0.57,0.13,0.19,0.23,0.31,0.66
tigermud.csv,0.45,0.34,0.44,0.23,0.44,0.4,0.94,0.46,1.0,0.46,0.17,0.66,0.1,0.94,0.86,0.73,0.89,0.55,0.69,0.26
utgb.csv,0.27,0.74,0.38,0.38,0.4,0.17,0.0,0.36,0.0,0.24,0.33,0.09,0.69,0.09,0.0,0.07,0.04,0.27,0.26,0.49
