,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,5.0,2.0,12.0,20.0,2.0,8.0,5.0,2.0,1.0,56.0,2.0,0.0,1.0,169.0,2.0,0.0,0.0,1.0
arm-webradio.csv,1.0,3.0,101.0,5.0,1.0,3.0,6.0,1.0,2.0,12.0,74.0,0.0,0.0,8.0,2.0,0.0,82.0,1.0
bwapi.csv,1.0,13.0,21.0,115.0,2.0,3.0,7.0,13.0,2.0,22.0,14.0,2.0,2.0,182.0,2.0,1.0,3.0,2.0
co-ode-owl-plugins.csv,3.0,0.0,15.0,16.0,0.0,2.0,0.0,0.0,3.0,22.0,5.0,0.0,0.0,182.0,0.0,0.0,0.0,1.0
firebreath.csv,0.0,0.0,10.0,26.0,0.0,0.0,0.0,9.0,2.0,34.0,1.0,0.0,4.0,20.0,0.0,0.0,4.0,0.0
frogatto.csv,1.0,15.0,14.0,24.0,0.0,3.0,2.0,7.0,1.0,5.0,12.0,0.0,0.0,174.0,0.0,4.0,0.0,28.0
gretl.csv,1.0,4.0,18.0,110.0,2.0,3.0,9.0,10.0,2.0,22.0,14.0,2.0,1.0,137.0,2.0,1.0,3.0,1.0
jasperreports.csv,0.0,1.0,11.0,112.0,0.0,11.0,4.0,12.0,4.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,26.0,131.0
konversation.csv,0.0,65.0,101.0,415.0,0.0,1.0,1.0,109.0,130.0,1.0,1.0,0.0,0.0,34.0,68.0,0.0,4.0,131.0
linuxsh.csv,0.0,0.0,4.0,1.0,0.0,1.0,72.0,3.0,1.0,14.0,74.0,0.0,2.0,502.0,1.0,2.0,82.0,131.0
moviesandbox.csv,1.0,2.0,10.0,68.0,0.0,1.0,3.0,4.0,1.0,21.0,2.0,0.0,0.0,179.0,0.0,1.0,2.0,0.0
ontomorphtab.csv,0.0,4.0,18.0,77.0,2.0,3.0,7.0,31.0,3.0,32.0,11.0,2.0,1.0,101.0,2.0,0.0,66.0,3.0
opengs.csv,1.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,1.0,18.0,74.0,0.0,0.0,178.0,2.0,1.0,0.0,0.0
scite-ru.csv,1.0,3.0,21.0,21.0,0.0,1.0,1.0,7.0,4.0,20.0,9.0,0.0,3.0,182.0,0.0,1.0,0.0,0.0
tokratan.csv,55.0,65.0,6.0,2.0,1.0,0.0,0.0,109.0,130.0,1.0,74.0,0.0,1.0,502.0,0.0,0.0,0.0,131.0
vrjuggler.csv,1.0,65.0,101.0,415.0,78.0,155.0,72.0,109.0,130.0,138.0,74.0,173.0,142.0,502.0,0.0,159.0,82.0,131.0
wxcode.csv,0.0,65.0,5.0,2.0,2.0,0.0,0.0,109.0,130.0,1.0,74.0,0.0,3.0,6.0,0.0,0.0,2.0,0.0
xuggle.csv,0.0,0.0,5.0,0.0,0.0,5.0,0.0,13.0,2.0,3.0,74.0,0.0,0.0,40.0,2.0,0.0,10.0,1.0
