,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.51,0.31,0.34,0.23,0.65,0.36,0.44,0.34,0.6,0.18,0.32,0.81,0.78,0.17,0.67,0.68,0.2,0.52
arm-webradio.csv,0.36,0.35,0.0,0.23,0.59,0.31,0.14,0.65,0.56,0.12,0.0,0.49,0.28,0.28,0.47,0.45,0.0,0.69
bwapi.csv,0.71,0.22,0.22,0.19,0.53,0.55,0.46,0.12,0.29,0.2,0.35,0.89,0.73,0.09,0.57,0.89,0.18,0.29
co-ode-owl-plugins.csv,0.66,0.46,0.39,0.36,0.75,0.42,0.32,0.8,0.72,0.2,0.06,0.59,0.5,0.09,0.7,0.56,0.41,0.77
firebreath.csv,0.54,0.43,0.32,0.29,0.72,0.56,0.09,0.12,0.63,0.22,0.07,0.23,0.29,0.21,0.36,0.31,0.15,0.23
frogatto.csv,0.72,0.27,0.22,0.26,0.64,0.57,0.48,0.15,0.48,0.3,0.36,0.81,0.7,0.1,0.75,0.36,0.27,0.35
gretl.csv,0.78,0.29,0.22,0.19,0.72,0.56,0.42,0.28,0.58,0.19,0.36,0.9,0.76,0.11,0.69,0.87,0.16,0.44
jasperreports.csv,0.29,0.12,0.27,0.1,0.29,0.38,0.39,0.16,0.09,0.11,0.34,0.3,0.42,0.43,0.15,0.03,0.06,0.0
konversation.csv,0.05,0.0,0.0,0.0,0.04,0.09,0.09,0.0,0.0,0.11,0.18,0.07,0.16,0.03,0.0,0.05,0.31,0.0
linuxsh.csv,0.31,0.37,0.56,0.12,0.66,0.19,0.0,0.07,0.66,0.13,0.0,0.17,0.1,0.0,0.22,0.21,0.0,0.0
moviesandbox.csv,0.65,0.32,0.28,0.18,0.75,0.45,0.15,0.52,0.64,0.25,0.1,0.25,0.1,0.05,0.47,0.71,0.21,0.26
ontomorphtab.csv,0.79,0.29,0.22,0.22,0.72,0.56,0.47,0.11,0.51,0.21,0.36,0.88,0.76,0.23,0.68,0.59,0.09,0.37
opengs.csv,0.51,0.53,0.42,0.36,0.67,0.51,0.17,0.64,0.72,0.22,0.0,0.25,0.19,0.08,0.42,0.31,0.41,0.06
scite-ru.csv,0.71,0.35,0.33,0.35,0.7,0.48,0.29,0.38,0.66,0.22,0.27,0.52,0.34,0.1,0.75,0.86,0.29,0.51
tokratan.csv,0.0,0.0,0.5,0.08,0.19,0.06,0.17,0.0,0.0,0.22,0.0,0.12,0.02,0.0,0.05,0.08,0.55,0.0
vrjuggler.csv,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
wxcode.csv,0.11,0.0,0.5,0.28,0.25,0.03,0.25,0.0,0.0,0.36,0.0,0.33,0.25,0.21,0.11,0.08,0.43,0.05
xuggle.csv,0.2,0.35,0.54,0.37,0.61,0.33,0.23,0.06,0.32,0.18,0.0,0.68,0.63,0.22,0.6,0.19,0.37,0.52
