,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.35,0.63,0.15,0.18,0.53,0.58,0.0,0.48,0.77,0.38,0.0,0.04,0.0,0.36,0.0
arianne.csv,0.71,0.94,0.82,0.22,0.46,0.38,0.65,0.46,0.75,0.72,0.6,0.08,0.53,0.24,0.77
auber.csv,0.58,0.9,0.81,0.21,0.48,0.48,0.75,0.36,0.7,0.79,0.48,0.08,0.59,0.72,0.45
bl-toolkit.csv,0.58,0.74,0.8,0.19,0.44,0.23,0.64,0.41,0.63,0.45,0.6,0.15,0.53,0.86,0.58
growl-for-windows.csv,0.0,0.76,0.11,0.21,0.24,0.0,0.53,0.32,0.74,0.27,0.34,0.0,0.55,0.87,0.79
keyczar.csv,0.22,0.03,0.0,0.17,0.2,0.0,0.2,0.11,0.0,0.11,0.31,0.0,0.14,0.79,0.45
kml.csv,0.63,0.92,0.77,0.22,0.53,0.5,0.78,0.5,0.79,0.76,0.55,0.08,0.56,0.73,0.72
knowledge.csv,0.58,0.9,0.78,0.26,0.4,0.31,0.65,0.31,0.76,0.7,0.56,0.08,0.57,0.71,0.44
les-indemodables.csv,0.6,0.69,0.74,0.27,0.41,0.28,0.74,0.43,0.67,0.69,0.14,0.09,0.59,0.68,0.68
lportal.csv,0.11,0.32,0.04,0.0,0.0,0.14,0.39,0.0,0.26,0.23,0.02,0.24,0.51,0.0,0.0
lufa-lib.csv,0.41,0.76,0.67,0.21,0.53,0.34,0.61,0.44,0.76,0.51,0.66,0.12,0.59,0.76,0.43
micomt.csv,0.61,0.93,0.72,0.17,0.5,0.67,0.37,0.5,0.79,0.62,0.49,0.09,0.53,0.38,0.77
sigil.csv,0.63,0.89,0.65,0.22,0.51,0.45,0.72,0.48,0.84,0.76,0.51,0.09,0.55,0.35,0.71
ultimairis.csv,0.63,0.28,0.82,0.28,0.53,0.48,0.65,0.62,0.14,0.62,0.6,0.08,0.0,0.08,0.39
voms.csv,0.62,0.9,0.79,0.57,0.09,0.5,0.58,0.35,0.76,0.56,0.38,0.08,0.58,0.0,0.22
