,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.42,0.17,0.59,0.68,0.35,0.51,0.77,0.7,0.67,0.43,0.65,0.22,0.7,0.28,0.44,0.32,0.48,0.34
doomlegacy.csv,0.65,0.0,0.55,0.51,0.49,0.55,0.67,0.21,0.36,0.44,0.65,0.28,0.79,0.11,0.44,0.35,0.53,0.19
elmo.csv,0.2,0.21,0.03,0.18,0.2,0.1,0.18,0.0,0.08,0.0,0.0,0.12,0.31,0.33,0.26,0.2,0.23,0.11
geochat.csv,0.14,0.13,0.4,0.55,0.21,0.09,0.38,0.53,0.47,0.29,0.06,0.04,0.21,0.28,0.22,0.19,0.34,0.48
gpac.csv,0.41,0.12,0.53,0.7,0.3,0.36,0.68,0.69,0.65,0.39,0.63,0.27,0.41,0.3,0.46,0.35,0.45,0.36
illumination.csv,0.0,0.14,0.11,0.59,0.0,0.51,0.05,0.0,0.0,0.46,0.6,0.13,0.0,0.68,0.44,0.0,0.0,0.26
ktc.csv,0.71,0.15,0.62,0.25,0.6,0.5,0.55,0.62,0.56,0.33,0.4,0.3,0.69,0.26,0.63,0.36,0.49,0.32
neoengine.csv,0.54,0.14,0.63,0.63,0.42,0.51,0.71,0.71,0.66,0.47,0.39,0.25,0.74,0.33,0.62,0.33,0.49,0.38
nicepress.csv,0.55,0.17,0.58,0.53,0.58,0.69,0.73,0.64,0.65,0.36,0.63,0.31,0.44,0.42,0.49,0.37,0.52,0.37
omseek.csv,0.36,0.0,0.2,0.0,0.3,0.14,0.25,0.07,0.17,0.29,0.21,0.4,0.07,0.24,0.37,0.17,0.43,0.11
open-ms.csv,0.62,0.0,0.52,0.25,0.54,0.36,0.48,0.04,0.08,0.12,0.27,0.26,0.77,0.35,0.48,0.36,0.43,0.11
pi-qmc.csv,0.44,0.13,0.59,0.7,0.42,0.49,0.59,0.66,0.65,0.33,0.36,0.21,0.75,0.36,0.71,0.35,0.44,0.36
rosegarden.csv,0.71,0.14,0.57,0.19,0.61,0.52,0.57,0.62,0.47,0.33,0.43,0.26,0.8,0.08,0.45,0.37,0.53,0.09
smarttag.csv,0.66,0.14,0.57,0.59,0.49,0.52,0.51,0.35,0.08,0.47,0.65,0.24,0.82,0.34,0.56,0.32,0.48,0.35
sylpheed-claws.csv,0.6,0.13,0.54,0.73,0.44,0.51,0.72,0.66,0.68,0.43,0.63,0.2,0.84,0.35,0.43,0.34,0.59,0.37
tango-cs.csv,0.56,0.0,0.56,0.66,0.5,0.51,0.67,0.6,0.59,0.37,0.64,0.27,0.7,0.36,0.59,0.35,0.55,0.43
xemeiah.csv,0.63,0.12,0.58,0.53,0.53,0.56,0.71,0.7,0.68,0.36,0.74,0.28,0.46,0.14,0.59,0.37,0.52,0.38
zscreen.csv,0.65,0.12,0.62,0.79,0.55,0.54,0.68,0.58,0.52,0.28,0.69,0.28,0.75,0.35,0.42,0.34,0.54,0.32
