,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.29,0.35,0.35,0.5,0.07,0.55,0.32,0.55,0.62,0.1,0.36,0.28,0.74,0.17,0.29,0.63,0.54
blogentis.csv,0.5,0.47,0.25,0.32,0.0,0.11,0.77,0.22,0.42,0.51,0.46,0.14,0.36,0.38,0.18,0.38,0.49
bochs.csv,0.05,0.4,0.77,0.59,0.8,0.71,0.52,0.09,0.74,0.54,0.0,0.5,0.52,0.64,0.56,0.0,0.72
galaxium.csv,0.26,0.57,0.51,0.49,0.52,0.31,0.53,0.25,0.47,0.61,0.68,0.66,0.44,0.78,0.73,0.46,0.44
gisgraphy.csv,0.29,0.52,0.7,0.53,0.58,0.74,0.49,0.05,0.51,0.1,0.39,0.36,0.33,0.54,0.14,0.69,0.75
haphazard.csv,0.21,0.42,0.52,0.52,0.0,0.47,0.43,0.31,0.39,0.56,0.2,0.44,0.37,0.34,0.18,0.38,0.42
ipfire-wall.csv,0.67,0.07,0.4,0.32,0.26,0.31,0.51,0.23,0.54,0.57,0.85,0.58,0.5,0.33,0.63,0.44,0.32
jmri.csv,0.49,0.4,0.38,0.66,0.26,0.68,0.33,0.53,0.55,0.46,0.52,0.58,0.46,0.38,0.36,0.59,0.6
jvcl.csv,0.55,0.6,0.21,0.23,0.24,0.31,0.6,0.24,0.31,0.18,0.44,0.37,0.47,0.0,0.49,0.25,0.27
kaffeine.csv,0.28,0.05,0.72,0.61,0.85,0.66,0.65,0.55,0.57,0.47,0.21,0.6,0.24,0.78,0.76,0.27,0.5
m-a-d-n-e-s-s.csv,0.27,0.55,0.28,0.27,0.17,0.5,0.55,0.23,0.23,0.62,0.49,0.7,0.5,0.34,0.6,0.2,0.17
magicwars.csv,0.0,0.51,0.0,0.24,0.0,0.33,0.33,0.68,0.0,0.17,0.0,0.09,0.0,0.44,0.82,0.0,0.34
nh3d.csv,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.05,0.66,0.0,0.0,0.09,0.0,0.05,0.05,0.0,0.0
opentibia.csv,0.62,0.14,0.81,0.45,0.51,0.8,0.33,0.56,0.39,0.27,0.36,0.14,0.46,0.52,0.11,0.58,0.58
sarasvati.csv,0.52,0.28,0.46,0.44,0.12,0.8,0.24,0.49,0.26,0.53,0.53,0.41,0.36,0.71,0.73,0.17,0.51
smartgwt.csv,0.0,0.23,0.5,0.51,0.66,0.39,0.37,0.45,0.46,0.34,0.69,0.72,0.5,0.42,0.76,0.64,0.59
tweetsharp.csv,0.0,0.15,0.55,0.54,0.33,0.55,0.32,0.13,0.5,0.18,0.23,0.32,0.52,0.39,0.22,0.78,0.64
