,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,0.07,0.52,0.01,0.18,0.73,0.16,0.42,0.46,0.25,0.07,0.43,0.1,0.13,0.6,0.51,0.43,0.44,0.49,0.39,0.0
blogentis.csv,0.0,0.31,0.02,0.12,0.64,0.04,0.54,0.34,0.05,0.0,0.37,0.0,0.06,0.48,0.31,0.11,0.23,0.08,0.29,0.0
carabiner.csv,0.07,0.55,0.01,0.18,0.87,0.2,0.48,0.49,0.08,0.06,0.46,0.1,0.11,0.61,0.52,0.48,0.27,0.64,0.35,0.03
continuum-ide.csv,0.0,0.51,0.02,0.15,0.32,0.19,0.35,0.43,0.05,0.33,0.46,0.14,0.07,0.39,0.67,0.24,0.17,0.15,0.22,0.05
emulemorph.csv,0.0,0.25,0.08,0.29,0.49,0.0,0.44,0.0,0.32,0.0,0.11,0.0,0.22,0.55,0.2,0.0,0.08,0.07,0.28,0.0
free-evolution.csv,0.12,0.53,0.03,0.19,0.65,0.13,0.42,0.68,0.21,0.03,0.54,0.28,0.18,0.79,0.43,0.32,0.24,0.52,0.47,0.02
gtad.csv,0.24,0.55,0.01,0.19,0.25,0.22,0.43,0.15,0.07,0.09,0.44,0.33,0.18,0.42,0.33,0.49,0.21,0.29,0.3,0.0
htmlunit.csv,0.1,0.5,0.01,0.24,0.56,0.13,0.34,0.32,0.29,0.0,0.54,0.21,0.15,0.64,0.37,0.42,0.22,0.44,0.35,0.0
jaxen.csv,0.06,0.46,0.02,0.24,0.83,0.15,0.4,0.7,0.38,0.04,0.43,0.56,0.09,0.7,0.39,0.39,0.27,0.41,0.37,0.0
jsr308-langtools.csv,0.08,0.32,0.0,0.0,0.86,0.13,0.42,0.86,0.17,0.04,0.0,0.13,0.0,0.95,0.49,0.37,0.33,0.47,0.43,0.0
jvcl.csv,0.11,0.24,0.5,0.35,0.37,0.21,0.41,0.18,0.19,0.0,0.31,0.17,0.14,0.23,0.39,0.3,0.19,0.36,0.36,0.03
kaffeine.csv,0.06,0.16,0.0,0.19,0.9,0.19,0.44,0.47,0.0,0.06,0.55,0.15,0.12,0.77,0.52,0.46,0.25,0.34,0.39,0.04
m-m-m.csv,0.1,0.42,0.03,0.15,0.69,0.14,0.36,0.89,0.15,0.03,0.38,0.11,0.11,0.61,0.46,0.37,0.27,0.47,0.37,0.06
motu.csv,0.06,0.5,0.03,0.19,0.7,0.1,0.39,0.77,0.16,0.0,0.45,0.09,0.12,0.71,0.4,0.61,0.32,0.5,0.35,0.0
nh3d.csv,0.05,0.47,0.8,0.0,0.9,0.12,0.41,0.91,0.2,0.03,0.37,0.11,0.0,0.69,0.47,0.36,0.28,0.46,0.38,0.02
sarasvati.csv,0.12,0.36,0.02,0.08,0.28,0.25,0.25,0.39,0.0,0.12,0.35,0.11,0.0,0.57,0.43,0.35,0.31,0.5,0.38,0.08
taokgame.csv,0.09,0.0,0.0,0.14,0.15,0.08,0.27,0.15,0.71,0.0,0.07,0.15,0.15,0.25,0.27,0.0,0.18,0.33,0.35,0.0
wgs-assembler.csv,0.15,0.46,0.02,0.19,0.72,0.12,0.47,0.11,0.45,0.03,0.53,0.13,0.12,0.81,0.39,0.4,0.27,0.51,0.39,0.04
