,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,0.5,0.33,0.46,0.31,0.43,0.5,0.35,0.47,0.47,0.48,0.54,0.46,0.36,0.6,0.28,0.33,0.58,0.51,0.48,0.32
blogentis.csv,0.83,0.97,0.72,0.94,0.62,0.81,0.57,0.46,0.56,0.71,0.54,0.5,0.71,0.75,0.61,0.83,0.93,0.5,0.69,0.74
carabiner.csv,0.37,0.3,0.35,0.32,0.41,0.76,0.33,0.41,0.41,0.43,0.35,0.39,0.36,0.53,0.29,0.36,0.44,0.5,0.44,0.36
continuum-ide.csv,0.86,0.36,0.52,0.5,0.9,0.95,0.9,0.5,0.7,0.8,0.43,0.89,0.96,0.75,0.4,0.62,0.84,0.75,0.95,0.57
emulemorph.csv,0.0,0.88,0.95,0.62,0.69,0.96,0.71,0.0,0.93,0.83,0.83,0.83,0.59,0.57,0.67,0.8,0.8,0.88,0.75,0.42
free-evolution.csv,0.47,0.32,0.53,0.3,0.43,0.52,0.37,0.61,0.38,0.37,0.33,0.48,0.57,0.37,0.28,0.42,0.35,0.39,0.6,0.27
gtad.csv,0.67,0.37,0.34,0.93,0.86,0.62,0.37,0.75,0.63,0.5,0.79,0.86,0.5,0.75,0.47,0.43,0.88,0.67,0.71,0.73
htmlunit.csv,0.32,0.28,0.36,0.47,0.42,0.57,0.43,0.73,0.59,0.5,0.52,0.86,0.37,0.41,0.31,0.36,0.44,0.49,0.5,0.31
jaxen.csv,0.41,0.38,0.54,0.39,0.44,0.59,0.43,0.75,0.78,0.38,0.56,0.85,0.48,0.46,0.39,0.44,0.41,0.5,0.73,0.33
jsr308-langtools.csv,0.34,0.42,0.0,0.0,0.36,0.42,0.37,0.54,0.36,0.37,0.0,0.39,0.0,0.38,0.29,0.4,0.39,0.4,0.47,0.56
jvcl.csv,0.75,0.91,0.75,0.78,0.73,0.94,0.49,0.8,0.5,0.79,0.94,0.58,0.57,0.8,0.47,0.71,0.95,0.61,0.88,0.36
kaffeine.csv,0.34,0.9,0.35,0.3,0.36,0.47,0.33,0.38,0.5,0.41,0.36,0.35,0.37,0.42,0.27,0.34,0.5,0.63,0.43,0.41
m-m-m.csv,0.4,0.53,0.41,0.36,0.5,0.44,0.4,0.67,0.44,0.38,0.41,0.41,0.44,0.53,0.33,0.39,0.43,0.4,0.49,0.68
motu.csv,0.36,0.35,0.43,0.31,0.46,0.45,0.38,0.56,0.43,0.92,0.38,0.42,0.36,0.47,0.39,0.57,0.46,0.43,0.45,0.31
nh3d.csv,0.34,0.52,0.83,0.0,0.4,0.41,0.38,0.56,0.37,0.37,0.87,0.4,0.75,0.44,0.32,0.37,0.37,0.4,0.45,0.28
sarasvati.csv,0.42,0.82,0.48,0.46,0.88,0.7,0.57,0.67,0.68,0.75,0.65,0.42,0.81,0.61,0.41,0.41,0.63,0.57,0.53,0.88
taokgame.csv,0.76,0.0,0.0,0.61,0.75,0.97,0.86,0.75,0.94,0.87,0.95,0.86,0.55,0.9,0.77,0.67,0.65,0.81,0.89,0.88
wgs-assembler.csv,0.64,0.53,0.52,0.33,0.41,0.4,0.43,0.67,0.73,0.39,0.57,0.38,0.44,0.41,0.41,0.38,0.4,0.44,0.47,0.39
