,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,0.52,0.6,0.24,0.0,0.62,0.67,0.58,0.35,0.6,0.85,0.51,0.43,0.65,0.54,0.58,0.61,0.68,0.63,0.49,0.0
blogentis.csv,0.0,0.32,0.57,0.15,0.0,0.11,0.68,0.26,0.12,0.0,0.46,0.0,0.34,0.38,0.42,0.1,0.23,0.06,0.48,0.0
carabiner.csv,0.56,0.52,0.28,0.3,0.8,0.41,0.64,0.38,0.29,0.8,0.37,0.39,0.59,0.54,0.57,0.75,0.55,0.74,0.54,0.75
continuum-ide.csv,0.0,0.37,0.2,0.45,0.21,0.31,0.29,0.33,0.12,0.99,0.59,0.24,0.2,0.34,0.8,0.35,0.22,0.11,0.21,0.9
emulemorph.csv,0.0,0.21,0.29,0.54,0.38,0.0,0.56,0.0,0.45,0.0,0.07,0.0,0.79,0.45,0.15,0.0,0.06,0.06,0.42,0.0
free-evolution.csv,0.87,0.0,0.53,0.46,0.54,0.55,0.42,0.57,0.5,0.13,0.68,0.91,0.76,0.7,0.52,0.39,0.51,0.61,0.64,0.09
gtad.csv,0.96,0.66,0.28,0.23,0.17,0.49,0.6,0.1,0.12,0.91,0.41,0.45,0.54,0.32,0.39,0.73,0.23,0.27,0.28,0.0
htmlunit.csv,0.84,0.46,0.28,0.58,0.44,0.47,0.5,0.24,0.61,0.0,0.58,0.45,0.65,0.55,0.5,0.65,0.45,0.58,0.4,0.0
jaxen.csv,0.51,0.44,0.36,0.69,0.0,0.61,0.5,0.44,0.84,0.38,0.53,0.98,0.45,0.56,0.45,0.56,0.42,0.5,0.58,0.0
jsr308-langtools.csv,0.75,0.38,0.0,0.0,0.78,0.59,0.13,0.0,0.52,0.52,0.0,0.57,0.0,0.93,0.36,0.42,0.67,0.35,0.66,0.0
jvcl.csv,0.54,0.18,0.55,0.6,0.26,0.31,0.59,0.12,0.56,0.0,0.28,0.61,0.53,0.16,0.45,0.35,0.22,0.47,0.31,0.62
kaffeine.csv,0.17,0.12,0.0,0.09,0.85,0.7,0.65,0.36,0.0,0.83,0.7,0.7,0.41,0.36,0.57,0.74,0.42,0.36,0.61,0.86
m-m-m.csv,0.81,0.5,0.68,0.4,0.58,0.53,0.26,0.79,0.46,0.09,0.22,0.05,0.58,0.54,0.45,0.17,0.46,0.09,0.58,0.91
motu.csv,0.51,0.6,0.66,0.21,0.5,0.32,0.05,0.56,0.49,0.0,0.09,0.17,0.64,0.44,0.53,0.83,0.65,0.63,0.48,0.0
nh3d.csv,0.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
sarasvati.csv,0.88,0.35,0.51,0.31,0.19,0.73,0.36,0.29,0.0,0.94,0.38,0.53,0.0,0.52,0.57,0.55,0.47,0.6,0.46,0.95
taokgame.csv,0.53,0.0,0.0,0.41,0.1,0.21,0.29,0.1,0.98,0.0,0.06,0.44,0.53,0.2,0.28,0.0,0.36,0.4,0.31,0.0
wgs-assembler.csv,0.91,0.49,0.42,0.24,0.62,0.54,0.65,0.07,0.86,0.21,0.55,0.49,0.62,0.77,0.52,0.59,0.55,0.68,0.59,0.82
