,kdenlive.csv,jatlas.csv,m-m-m.csv,x-ray-mule.csv,jrefactory.csv,algebsql.csv,emisview.csv,opennms.csv,rohxel.csv,cuberok.csv,jgossipforum.csv,octet.csv,power-architect.csv,jchassis.csv,jas.csv,poormans.csv,opendvr.csv,synecdoche.csv,javaprofiler.csv,thedata.csv
algebsql.csv,0.79,0.92,0.95,0.95,0.81,0.74,0.37,0.43,0.75,0.58,0.96,0.0,0.41,0.91,0.93,0.52,0.61,0.9,0.71,0.94
cuberok.csv,0.47,0.54,0.56,0.88,0.5,0.58,0.45,0.66,0.45,0.57,0.75,0.53,0.53,0.63,0.5,0.6,0.46,0.88,0.62,0.35
emisview.csv,0.8,0.71,0.88,0.75,0.89,0.61,0.5,0.53,0.42,0.0,0.94,0.88,0.63,0.88,0.86,0.56,0.67,0.5,0.82,0.88
jas.csv,0.4,0.58,0.71,0.56,0.92,0.46,0.64,0.6,0.4,0.53,0.56,0.83,0.8,0.88,0.82,0.57,0.5,0.54,0.79,0.9
jatlas.csv,0.94,0.64,0.57,0.86,0.56,0.52,0.4,0.48,0.5,0.68,0.95,0.53,0.43,0.75,0.51,0.52,0.0,0.82,0.86,0.63
javaprofiler.csv,0.43,0.53,0.68,0.46,0.61,0.46,0.87,0.53,0.38,0.55,0.95,0.45,0.48,0.68,0.45,0.54,0.51,0.44,0.53,0.4
jchassis.csv,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0
jgossipforum.csv,0.43,0.9,0.42,0.47,0.68,0.89,0.54,0.84,0.5,0.43,0.95,0.67,0.61,0.45,0.67,0.73,0.53,0.34,0.83,0.9
jrefactory.csv,0.39,0.6,0.81,0.32,0.58,0.49,0.0,0.9,0.4,0.4,0.68,0.45,0.9,0.58,0.5,0.72,0.45,0.36,0.44,0.39
kdenlive.csv,0.35,0.42,0.42,0.33,0.37,0.54,0.3,0.36,0.58,0.39,0.38,0.43,0.31,0.43,0.37,0.36,0.48,0.35,0.53,0.37
m-m-m.csv,0.38,0.42,0.7,0.54,0.42,0.42,0.5,0.57,0.41,0.41,0.73,0.45,0.46,0.68,0.48,0.59,0.48,0.44,0.43,0.37
octet.csv,0.83,0.44,0.53,0.8,0.62,0.52,0.32,0.37,0.55,0.46,0.41,0.85,0.35,0.59,0.48,0.41,0.67,0.51,0.71,0.57
opendvr.csv,0.58,0.45,0.37,0.45,0.43,0.63,0.28,0.38,0.54,0.58,0.49,0.78,0.34,0.6,0.48,0.38,0.64,0.52,0.7,0.58
opennms.csv,0.94,0.63,0.67,0.5,0.5,0.86,0.59,0.59,0.46,0.79,0.77,0.67,0.71,0.0,0.92,0.91,0.65,0.5,0.0,0.91
poormans.csv,0.94,0.88,0.6,0.5,0.81,0.67,0.32,0.47,0.0,0.89,0.94,0.75,0.55,0.5,0.5,0.44,0.0,0.88,0.75,0.88
power-architect.csv,0.47,0.41,0.54,0.46,0.42,0.47,0.44,0.42,0.38,0.38,0.58,0.56,0.43,0.51,0.41,0.51,0.46,0.38,0.46,0.38
rohxel.csv,0.4,0.73,0.75,0.9,0.9,0.53,0.47,0.74,0.47,0.62,0.0,0.86,0.8,0.0,0.67,0.52,0.57,0.54,0.87,0.9
synecdoche.csv,0.69,0.54,0.54,0.38,0.39,0.56,0.36,0.41,0.61,0.37,0.61,0.53,0.36,0.57,0.56,0.49,0.69,0.55,0.68,0.35
thedata.csv,0.38,0.65,0.62,0.35,0.6,0.51,0.47,0.48,0.56,0.42,0.57,0.55,0.37,0.67,0.66,0.52,0.44,0.34,0.49,0.89
x-ray-mule.csv,0.87,0.85,0.96,0.61,0.94,0.9,0.92,0.72,0.71,0.75,0.6,0.71,0.94,0.94,0.81,0.91,0.86,0.86,0.83,0.5
