,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.35,0.0,0.0,0.12,0.0,0.71,0.21,0.0,0.0,0.29,0.81,0.0,0.86,0.15
codeblocks.csv,0.49,0.43,0.57,0.33,0.27,0.71,0.29,0.74,0.47,0.9,0.19,0.9,0.71,0.75
ctrlr.csv,0.32,0.29,0.0,0.56,0.24,0.21,0.17,0.13,0.47,0.29,0.33,0.76,0.0,0.26
dvt.csv,0.54,0.33,0.83,0.19,0.04,0.36,0.69,0.66,0.13,0.33,0.33,0.43,0.0,0.24
flylinkdc.csv,0.76,0.74,0.93,0.81,0.81,0.79,0.69,0.42,1.0,0.38,0.67,0.57,1.0,0.7
kowari.csv,0.19,0.26,0.0,0.42,0.23,0.43,0.14,0.39,0.67,0.86,0.33,0.9,0.71,0.49
ldview.csv,0.97,0.86,1.0,0.77,0.99,1.0,0.83,0.6,0.4,0.81,0.86,0.38,1.0,0.89
maidsafe-dht.csv,0.41,0.4,0.68,0.6,0.76,0.79,0.4,0.84,0.8,0.33,0.57,0.38,0.86,0.37
n2cms.csv,0.76,0.57,0.51,0.77,0.23,0.71,0.48,0.39,0.53,0.38,0.76,0.14,0.86,0.37
nuttx.csv,0.46,0.14,0.01,0.08,0.7,0.29,0.07,0.47,0.2,0.52,0.05,0.43,0.29,0.35
rtb-team.csv,0.11,0.24,0.0,0.65,0.0,0.36,0.21,0.03,0.8,0.0,0.57,0.05,0.14,0.08
super-tux.csv,0.89,0.36,0.65,0.31,0.75,1.0,0.38,0.88,0.33,0.95,0.76,0.86,0.71,0.92
vdsf.csv,0.62,0.86,0.36,0.73,0.7,0.79,0.71,0.87,1.0,0.62,0.9,0.43,0.43,0.76
xbrlapi.csv,0.14,0.71,0.0,0.35,0.0,0.14,0.24,0.06,0.27,0.24,0.38,0.1,0.14,0.02
