,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.36,0.0,0.0,0.75,0.0,0.27,0.39,0.0,0.0,0.6,0.31,0.0,0.12,1.0
codeblocks.csv,0.47,0.49,0.1,0.53,0.89,0.19,0.32,0.83,0.37,0.39,0.25,0.33,0.18,0.97
ctrlr.csv,0.2,0.57,0.0,0.4,0.81,0.13,0.12,0.65,0.33,0.4,0.23,0.52,0.0,0.93
dvt.csv,0.28,0.45,0.08,0.38,0.89,0.16,0.53,0.81,0.33,0.28,0.19,0.36,0.0,0.96
flylinkdc.csv,0.53,0.53,0.08,0.41,0.82,0.23,0.26,0.82,0.29,0.44,0.25,0.23,0.08,0.97
kowari.csv,0.78,0.55,0.0,0.36,0.81,0.21,0.32,0.79,0.26,0.35,0.41,0.26,0.21,0.98
ldview.csv,0.27,0.5,0.09,0.43,0.83,0.2,0.26,0.78,0.18,0.55,0.2,0.33,0.08,0.97
maidsafe-dht.csv,0.37,0.53,0.13,0.53,0.8,0.42,0.33,0.75,0.32,0.58,0.26,0.15,0.1,1.0
n2cms.csv,0.36,0.55,0.12,0.7,0.84,0.33,0.36,0.88,0.73,0.44,0.29,0.14,0.11,0.97
nuttx.csv,0.46,0.43,0.07,0.67,0.88,0.31,0.15,0.85,0.33,0.42,0.11,0.47,0.12,0.97
rtb-team.csv,0.57,0.71,0.0,0.5,0.0,0.36,0.35,1.0,0.71,0.0,0.33,0.12,0.05,1.0
super-tux.csv,0.26,0.39,0.14,0.38,0.78,0.26,0.29,0.75,0.45,0.39,0.22,0.26,0.17,1.0
vdsf.csv,0.22,0.57,0.19,0.41,0.78,0.18,0.29,0.77,0.29,0.38,0.22,0.17,0.04,0.95
xbrlapi.csv,0.38,0.65,0.0,0.4,0.0,0.17,0.45,0.88,0.21,0.45,0.3,0.33,0.02,0.67
