,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.51,0.22,0.08,0.17,0.88,0.58,0.69,1.0,1.0,1.0,0.59,1.0,0.78
grafx2.csv,0.41,0.19,0.1,0.21,0.89,0.47,0.68,0.31,0.8,0.79,0.47,0.38,0.52
jahshakafx.csv,0.57,0.23,0.1,0.23,0.94,0.46,0.71,0.67,0.8,0.92,0.56,0.42,0.67
kftpgrabber.csv,0.57,0.19,0.0,0.2,1.0,0.56,0.75,0.5,0.91,1.0,0.68,0.67,0.67
kindb.csv,0.54,0.18,0.1,0.22,0.89,0.47,0.62,1.0,0.8,0.93,0.44,1.0,0.61
maya-work-in-progress.csv,0.37,0.16,0.09,0.24,0.87,0.4,0.78,0.4,0.8,0.9,0.39,0.37,0.58
netatalk.csv,0.36,0.14,0.07,0.12,0.8,0.4,0.42,0.17,0.79,0.8,0.36,0.45,0.48
nullc.csv,0.4,0.12,0.06,0.13,1.0,0.4,0.73,0.39,0.69,0.78,0.36,0.31,0.48
plee-the-bear.csv,0.56,0.21,0.16,0.33,0.79,0.32,0.77,0.31,0.6,0.67,0.48,0.29,0.47
reaper-ecad.csv,0.69,0.25,0.06,0.26,1.0,0.72,1.0,0.0,1.0,1.0,0.5,0.67,1.0
unimrcp.csv,0.49,0.18,0.1,0.19,0.92,0.49,0.53,0.53,0.87,0.93,0.49,0.55,0.63
unladen-swallow.csv,0.46,0.23,0.15,0.11,0.88,0.4,0.72,0.44,0.78,0.81,0.54,0.43,0.75
xmoto.csv,0.41,0.18,0.09,0.4,0.87,0.46,0.53,0.27,0.71,0.69,0.5,0.27,0.74
