,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.53,0.41,0.5,0.63,0.49,0.5,0.29,0.3,0.56,0.47,0.45,0.99,0.57,0.48,0.64,0.62,0.5,0.51,0.51,0.5
ardour.csv,0.56,0.3,0.52,0.65,0.54,0.62,0.5,0.72,0.69,0.53,0.65,0.52,0.95,0.4,0.79,0.35,0.58,0.58,0.56,0.58
arianne.csv,0.47,0.98,0.43,0.54,0.48,0.81,0.52,0.56,0.63,0.66,0.8,0.55,0.62,0.49,0.82,0.46,0.58,0.58,0.44,0.62
bacnet.csv,0.54,0.31,0.65,0.67,0.59,0.42,0.59,0.44,0.59,0.89,0.45,0.48,0.64,0.38,0.64,0.42,0.5,0.58,0.7,0.54
cortex-vfx.csv,0.42,0.25,0.3,0.43,0.37,0.62,0.37,0.35,0.49,0.37,0.6,0.33,0.38,0.32,0.5,0.06,0.44,0.91,0.28,0.38
emeraldemu.csv,0.82,0.44,0.13,0.96,0.33,0.12,0.41,0.42,0.53,0.13,0.05,0.16,0.47,0.31,0.5,0.02,0.39,0.19,0.27,0.35
fritzing.csv,0.97,0.43,0.74,0.56,0.51,0.65,0.51,0.63,0.57,0.55,0.35,0.6,0.75,0.45,0.82,0.02,0.39,0.3,0.68,0.69
gnupdate.csv,0.68,0.7,0.46,0.59,0.86,0.62,0.54,0.49,0.68,0.34,0.8,0.53,0.6,0.6,0.29,1.0,0.86,0.83,0.3,0.81
grafx2.csv,0.67,0.53,0.52,0.6,0.4,0.54,0.46,0.98,0.7,0.42,0.5,0.57,0.62,0.58,0.71,0.33,0.56,0.68,0.46,0.58
gstreamer.csv,0.54,0.52,0.65,0.59,0.46,0.69,0.58,0.47,0.69,0.61,0.55,0.6,0.66,0.65,0.79,0.54,0.61,0.64,0.98,0.69
keyczar.csv,0.07,0.39,0.5,0.33,0.38,0.35,0.22,0.35,0.28,0.53,0.6,0.72,0.24,0.29,0.57,1.0,0.42,0.19,0.48,0.42
linux-ntfs.csv,0.43,0.33,0.43,0.59,0.51,0.62,0.53,0.58,0.58,0.45,0.45,0.49,0.61,0.46,0.86,0.5,0.44,0.48,0.47,1.0
multitude.csv,0.56,0.43,0.57,0.71,0.62,0.42,0.59,0.7,0.64,0.42,0.45,0.47,0.67,0.97,0.39,0.25,0.67,0.38,0.56,0.69
planeshift.csv,0.71,0.23,0.78,0.88,0.59,0.69,0.99,0.81,0.85,0.84,0.5,0.82,0.91,0.75,0.93,0.58,0.75,0.91,0.83,0.77
rsyslog.csv,0.62,0.39,0.7,0.66,0.49,0.96,0.61,0.77,0.71,0.58,0.4,0.38,0.78,0.35,0.89,0.0,0.67,0.35,0.59,0.65
salasaga.csv,0.53,0.95,0.52,0.76,0.65,0.65,0.83,0.81,0.62,0.79,0.75,0.85,0.44,0.66,0.82,1.0,0.83,0.75,0.52,0.62
wow-qrsk.csv,0.67,0.37,0.54,0.56,0.4,0.35,0.31,0.28,0.97,0.66,0.5,0.13,0.5,0.43,0.57,0.15,0.36,0.61,0.3,0.58
xmoto.csv,0.64,0.41,0.76,0.74,0.44,0.77,0.51,0.51,0.68,0.82,0.75,0.76,0.86,0.52,1.0,0.6,0.97,0.65,0.95,0.92
xuggle.csv,0.71,0.74,0.78,0.65,0.6,0.69,0.76,0.7,0.43,0.47,0.65,0.47,0.69,0.43,0.04,0.17,0.67,0.13,0.68,0.5
yield.csv,0.88,0.72,0.78,0.93,0.97,0.81,0.83,0.88,0.85,0.82,0.65,0.83,0.9,0.78,0.96,0.81,0.89,0.84,0.9,0.85
