,google-collections.csv,forester-atv.csv,mediate.csv,st-filteredstatistics.csv,projectfactory.csv,geotools.csv,l2j.csv,thedata.csv
forester-atv.csv,0.0,1.0,0.54,0.05,0.15,0.05,0.06,0.0
geotools.csv,0.2,0.27,0.62,0.13,0.36,0.96,0.08,0.0
google-collections.csv,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0
l2j.csv,0.75,0.65,0.87,0.82,0.41,0.8,0.99,0.25
mediate.csv,0.31,0.42,0.97,0.28,0.85,0.6,0.74,0.75
projectfactory.csv,0.4,0.54,0.54,0.77,0.95,0.53,0.25,0.5
st-filteredstatistics.csv,0.41,0.65,0.62,0.97,0.46,0.67,0.33,0.25
thedata.csv,0.0,0.77,0.41,0.18,0.49,0.16,0.3,1.0
