,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.63,0.63,0.33,0.8,0.44,0.55,0.3,0.41,0.53,0.61,0.69,0.74,0.32,0.82,0.32,0.42,0.31,0.82
decidr.csv,0.55,0.76,0.55,0.54,0.62,0.82,0.89,1.0,0.82,0.97,0.28,1.0,1.0,0.9,0.67,0.97,0.78,0.97
elmo.csv,0.14,0.27,0.04,0.09,0.15,0.39,0.19,0.14,0.12,0.06,0.17,0.06,0.04,0.05,0.2,0.26,0.29,0.27
gpac.csv,0.28,0.72,0.53,0.25,0.61,0.82,0.7,0.9,0.4,0.49,0.98,0.28,0.83,0.9,0.6,0.63,0.86,0.83
illumination.csv,0.0,0.9,0.05,0.07,0.71,0.01,0.78,0.47,0.0,0.65,0.02,0.0,0.0,0.54,0.44,0.92,0.12,0.0
img-browse-sort.csv,0.34,0.3,0.22,0.22,0.33,0.38,0.19,0.29,0.25,0.28,0.69,0.34,0.14,0.67,0.24,0.18,0.49,0.59
jajuk.csv,0.66,0.45,0.68,0.17,0.58,0.59,0.48,0.71,0.5,0.29,0.95,0.89,0.66,0.95,0.55,0.5,0.58,0.77
ktc.csv,0.22,0.27,0.28,0.19,0.37,0.44,0.07,0.47,0.21,0.17,0.31,0.49,0.3,0.36,0.43,0.74,0.45,0.46
miranda.csv,0.51,0.06,0.53,0.07,0.02,0.01,0.19,1.0,0.14,0.32,0.16,0.13,1.0,0.03,0.63,0.0,0.34,0.47
neoengine.csv,0.39,1.0,0.26,0.37,0.43,0.92,0.37,1.0,0.28,0.65,0.54,1.0,1.0,0.64,0.74,0.66,0.82,1.0
nicepress.csv,0.47,0.84,0.92,0.67,0.49,0.41,0.44,0.96,0.42,0.25,0.64,0.94,0.96,0.49,0.26,0.74,0.43,0.86
omseek.csv,0.08,0.01,0.05,0.09,0.04,0.15,0.0,0.14,0.03,0.09,0.17,0.04,0.07,0.49,0.21,0.5,0.08,0.1
rosegarden.csv,0.44,0.57,0.88,0.43,0.52,0.62,0.15,0.35,0.22,0.39,0.68,0.38,0.25,0.28,0.53,0.63,0.12,0.66
smarttag.csv,0.51,0.42,0.89,0.35,0.82,0.61,0.52,0.16,0.34,0.23,0.34,0.32,0.27,0.23,0.45,0.42,0.58,0.41
sylpheed-claws.csv,0.91,1.0,0.87,0.95,0.98,1.0,1.0,0.29,0.95,1.0,0.87,0.51,0.28,0.95,1.0,0.97,0.97,1.0
vapor.csv,0.0,0.37,0.48,0.22,0.74,0.32,0.04,0.86,0.21,0.42,0.73,0.38,0.55,1.0,0.38,0.32,0.17,0.03
zorannt.csv,0.39,0.4,0.04,0.22,0.28,0.58,0.44,0.08,0.13,0.23,0.36,0.36,0.28,0.36,0.4,0.32,0.54,0.58
zscreen.csv,0.68,0.1,0.6,0.8,0.74,0.55,0.19,0.31,0.61,0.7,0.75,0.68,0.45,0.64,0.52,0.87,0.72,0.92
