,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.87,0.14,0.59,0.74,0.19,0.38,0.15,0.0,0.56,0.24,0.8,0.09,0.5,0.79,0.32,0.1,0.06
bionote.csv,0.82,0.21,0.41,0.61,0.56,0.29,0.45,0.72,0.5,0.23,0.36,0.36,1.0,0.74,0.43,0.24,0.29
bullet.csv,1.0,0.5,0.56,0.96,0.85,0.75,0.72,0.44,0.89,0.82,0.56,0.45,1.0,0.45,0.86,0.52,0.62
dxengine.csv,0.0,0.57,0.16,0.52,0.56,0.13,0.36,0.33,0.0,0.69,0.6,0.45,0.12,0.02,0.21,0.19,0.44
emono.csv,0.74,0.43,0.88,0.87,0.41,0.89,0.85,0.89,0.67,0.84,0.76,0.18,0.25,0.62,0.89,0.84,0.74
findbugs.csv,0.56,0.57,0.59,0.7,0.81,0.87,0.66,0.67,0.83,0.62,0.4,0.73,0.75,0.57,0.5,0.53,0.42
hazelcast.csv,0.89,0.79,0.75,0.96,0.89,0.91,0.7,0.67,0.61,0.84,0.64,0.45,0.88,0.89,0.64,0.81,0.69
jedit.csv,0.74,0.57,0.94,0.91,0.85,1.0,0.84,0.67,0.56,0.95,0.88,0.45,0.62,0.81,0.79,0.79,0.96
jmonkeyengine.csv,0.05,0.79,0.22,0.26,0.89,0.15,0.61,1.0,0.67,0.5,0.2,0.82,0.75,0.32,0.32,0.43,0.81
kolmafia.csv,0.89,0.93,0.78,0.96,0.85,0.69,0.87,0.94,0.94,0.85,1.0,0.55,0.88,0.7,0.71,0.4,0.81
lamp.csv,0.57,0.64,0.44,0.61,0.78,0.75,0.7,0.89,0.44,0.69,0.44,0.45,0.62,0.6,0.57,0.52,0.94
lcfizvtop.csv,0.75,0.93,0.72,0.74,0.7,0.62,0.51,0.33,0.61,0.57,0.4,0.82,0.88,0.96,0.64,0.55,0.7
onotoa.csv,0.2,0.07,0.22,0.43,0.48,0.71,0.42,0.67,0.17,0.62,0.24,0.27,0.0,0.19,0.43,0.34,0.31
openintents.csv,0.8,1.0,0.66,0.61,0.37,0.73,0.57,0.56,1.0,0.35,0.72,0.55,1.0,0.72,0.93,0.69,0.5
qlc.csv,0.44,0.57,0.56,0.83,0.7,0.55,0.73,0.67,0.5,0.64,0.28,0.36,0.88,0.74,0.57,0.45,0.52
triplea.csv,0.77,0.79,0.69,1.0,0.81,0.96,0.79,0.61,0.67,0.55,1.0,0.55,0.88,0.81,0.61,0.84,0.69
