,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.69,0.65,0.67,0.42,0.26,0.34,0.6,0.52,0.35,0.09,0.43,0.96,0.5,0.72,0.45,0.32,0.98,0.29
cornerstone.csv,0.42,0.64,0.7,0.42,0.04,0.33,0.67,0.66,0.37,0.22,0.92,0.7,0.43,0.44,0.25,0.21,0.59,0.71
emeraldemu.csv,0.51,0.55,0.52,0.79,0.14,0.22,0.33,0.94,0.29,0.91,0.65,0.26,0.46,0.3,0.41,0.5,0.45,0.14
grafx2.csv,0.58,0.5,0.58,0.67,0.32,0.3,0.47,0.51,0.34,0.41,0.51,0.59,0.45,0.98,0.39,0.59,0.52,0.5
jahshakafx.csv,0.99,0.35,0.33,0.21,0.18,0.14,0.33,0.36,0.25,0.16,0.27,0.0,0.24,0.09,0.28,0.47,0.32,0.14
kindb.csv,0.81,0.86,0.67,0.75,0.4,0.45,0.87,0.73,0.56,0.53,0.73,0.7,0.46,0.44,0.71,0.94,0.65,0.5
maya-work-in-progress.csv,0.82,0.61,0.91,0.67,0.56,0.65,0.87,0.65,0.6,0.97,0.69,0.19,0.6,0.67,0.89,0.44,0.83,0.64
netatalk.csv,0.39,0.58,0.48,0.38,0.12,0.15,0.73,0.46,0.37,0.41,0.43,0.3,0.33,0.37,0.39,0.53,0.38,1.0
novembre.csv,0.45,0.61,0.55,0.38,0.24,0.14,0.93,0.45,0.21,0.22,0.31,0.07,0.32,0.4,0.34,0.53,0.47,0.36
ns-3.csv,0.63,0.62,0.79,0.58,0.42,0.99,0.93,0.72,0.54,0.44,0.47,1.0,0.8,0.95,0.59,0.74,0.86,0.79
nullc.csv,0.52,0.67,0.7,0.92,1.0,0.72,1.0,0.62,0.87,0.72,0.49,0.89,0.9,0.49,0.79,0.91,0.81,0.86
open-beos.csv,0.77,0.76,0.85,0.67,0.68,0.7,0.8,0.72,0.98,0.66,0.63,0.59,0.73,0.56,0.79,0.21,0.84,0.5
planeshift.csv,0.89,0.72,0.7,0.46,0.54,0.43,0.93,0.51,0.74,0.28,0.53,0.59,0.99,0.74,0.39,0.71,0.77,0.57
plee-the-bear.csv,0.42,0.28,0.88,0.12,0.56,0.67,0.47,0.41,0.62,0.78,0.59,0.78,0.58,0.58,0.46,0.59,0.32,0.57
reaper-ecad.csv,0.46,0.48,0.7,0.92,0.2,0.45,0.13,0.54,0.24,0.72,0.59,0.37,0.48,0.58,0.43,0.24,0.4,0.21
sbml.csv,0.55,0.84,0.85,1.0,0.36,0.62,0.87,0.78,0.65,0.47,0.33,0.93,0.8,0.58,0.96,0.79,0.73,0.64
unimrcp.csv,0.51,0.28,0.36,0.25,0.28,0.12,0.67,0.44,0.19,0.19,0.33,0.96,0.19,0.35,0.29,0.21,0.41,0.21
unladen-swallow.csv,0.22,0.63,0.12,0.0,0.24,0.41,0.33,0.14,0.07,0.06,0.59,0.41,0.51,0.28,0.55,0.24,0.26,0.43
