,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.72,0.96,0.2,0.58,0.35,0.7,0.32,0.25,0.38,0.04,0.4,0.52,0.42,0.48
biopax.csv,0.68,0.48,0.2,0.62,0.34,0.65,0.32,0.17,0.49,0.05,0.59,0.57,0.59,0.99
gnupdate.csv,0.43,0.37,0.29,0.52,0.45,0.3,1.0,0.13,0.18,0.0,0.27,0.51,0.3,0.33
les-indemodables.csv,0.53,0.25,0.21,0.44,0.43,0.32,0.29,0.14,0.33,0.11,0.55,1.0,0.53,0.33
openxava.csv,0.32,0.4,1.0,0.18,0.35,0.14,0.17,0.23,0.14,0.0,0.31,0.1,0.08,0.08
ppcboot.csv,0.64,0.48,0.2,0.45,0.39,0.97,0.23,0.06,0.49,0.07,0.25,0.35,0.52,0.62
repositorium.csv,0.24,0.29,0.18,0.48,0.15,0.28,0.0,1.0,0.08,0.0,0.44,0.28,0.32,0.62
rsyslog.csv,1.0,0.46,0.35,0.51,0.33,0.49,0.33,0.25,0.4,0.04,0.51,0.48,0.55,0.56
simplewebservices.csv,0.54,0.35,0.22,0.59,0.27,0.27,0.34,0.0,0.13,0.09,0.31,0.31,0.98,0.26
ultimairis.csv,0.64,0.46,0.21,0.56,0.31,0.62,0.38,0.17,0.97,0.0,0.39,0.56,0.51,0.76
vars-redux.csv,0.26,0.31,0.25,0.96,0.37,0.33,0.27,0.1,0.34,0.09,0.05,0.51,0.33,0.31
wow-qrsk.csv,0.61,0.34,0.15,0.41,0.97,0.67,0.31,0.0,0.35,0.05,0.39,0.38,0.36,0.24
wxstudio.csv,0.36,0.23,0.27,0.51,0.31,0.23,0.11,0.24,0.4,0.08,0.99,0.45,0.42,0.3
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
