,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,0.35,0.49,0.57,0.41,0.4,0.55,0.61,0.48,0.48,0.36,0.4,0.4,0.49,0.38,0.48,0.49,0.38,0.37,0.45,0.37
extprosys.csv,0.4,0.44,0.75,0.36,0.41,0.5,0.37,0.42,0.49,0.33,0.38,0.44,0.57,0.37,0.52,0.45,0.36,0.36,0.43,0.4
freewrl.csv,0.66,0.5,0.84,0.83,0.48,0.77,0.95,0.68,0.76,0.44,0.85,0.97,0.6,0.92,0.91,0.57,0.41,0.63,0.79,0.8
glas.csv,0.45,0.42,0.6,0.46,0.52,0.4,0.53,0.41,0.45,0.55,0.44,0.61,0.51,0.43,0.61,0.49,0.45,0.41,0.5,0.34
ibatisdb.csv,0.92,0.89,0.97,0.69,0.64,0.75,0.92,0.58,0.99,0.86,0.66,0.71,0.64,0.83,0.96,0.82,0.88,0.83,0.87,0.6
japano.csv,0.38,0.43,0.48,0.44,0.7,0.49,0.56,0.42,0.45,0.33,0.44,0.39,0.46,0.43,0.45,0.42,0.36,0.36,0.45,0.36
lockss.csv,0.86,0.75,0.67,0.8,0.0,0.8,0.95,0.9,0.99,0.83,0.9,0.88,0.95,0.83,0.83,0.83,0.8,0.0,0.75,0.0
officefloor.csv,0.93,0.89,0.97,0.96,0.5,0.66,0.93,0.83,0.97,0.36,0.49,0.98,0.99,0.7,0.97,0.6,0.36,0.65,0.52,0.58
opennms.csv,0.92,0.67,0.75,0.74,0.67,0.96,0.78,0.89,0.98,0.53,0.94,0.91,0.75,0.79,0.93,0.92,0.37,0.88,0.86,0.0
papertoolkit.csv,0.0,0.7,0.67,0.67,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.88,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
primefaces.csv,0.54,0.56,0.55,0.57,0.5,0.66,0.76,0.95,0.68,0.0,0.49,0.41,0.9,0.65,0.48,0.63,0.0,0.44,0.55,0.46
rohxel.csv,0.3,0.41,0.53,0.37,0.44,0.41,0.43,0.37,0.37,0.41,0.34,0.38,0.46,0.38,0.54,0.4,0.44,0.33,0.43,0.26
roller.csv,0.47,0.38,0.89,0.47,0.64,0.53,0.88,0.53,0.59,0.0,0.45,0.84,0.48,0.67,0.87,0.65,0.5,0.92,0.9,0.62
sevenupdate.csv,0.32,0.47,0.47,0.38,0.41,0.47,0.36,0.45,0.45,0.35,0.39,0.38,0.46,0.39,0.47,0.42,0.65,0.34,0.44,0.29
soar.csv,0.67,0.94,0.83,0.95,0.91,0.93,0.64,0.85,0.99,0.91,0.83,0.75,0.83,0.51,0.71,0.71,0.53,0.58,0.61,0.81
web-cat.csv,0.95,0.65,0.57,0.85,0.52,0.8,0.6,0.96,0.99,0.33,0.58,0.49,0.57,0.82,0.64,0.77,0.36,0.6,0.77,0.56
xcf.csv,0.31,0.36,0.53,0.39,0.4,0.38,0.59,0.46,0.39,0.67,0.39,0.7,0.46,0.48,0.6,0.42,0.92,0.36,0.48,0.27
xfce.csv,0.35,0.47,0.68,0.39,0.45,0.38,0.47,0.42,0.53,0.38,0.39,0.44,0.47,0.41,0.63,0.42,0.38,0.35,0.4,0.33
