,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,1.0,1.0,0.79,1.0,0.66,1.0,1.0,0.81,1.0,0.93,1.0,1.0,0.46,1.0,1.0
bl-toolkit.csv,0.68,1.0,0.92,1.0,0.98,0.4,0.97,0.87,1.0,0.77,0.78,0.43,0.99,0.79,1.0
bochs.csv,0.82,0.6,0.41,1.0,0.44,0.94,1.0,0.46,1.0,0.63,0.63,0.76,0.55,0.63,0.95
emeraldemu.csv,0.56,0.52,0.61,0.53,0.59,0.72,0.48,0.43,0.57,0.53,0.58,0.9,0.64,0.92,0.38
fbmanager.csv,0.31,1.0,0.89,1.0,0.86,0.79,0.52,0.83,1.0,0.72,0.67,0.8,0.88,0.69,0.36
modellus.csv,0.81,1.0,1.0,1.0,1.0,0.47,0.52,1.0,1.0,0.95,1.0,0.35,1.0,0.83,1.0
openmalaria.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,1.0,1.0,1.0,0.45
pi-qmc.csv,0.68,1.0,0.99,1.0,1.0,0.9,0.79,0.96,1.0,0.95,0.56,0.65,1.0,0.24,0.24
plplot.csv,1.0,1.0,0.73,1.0,0.97,0.95,1.0,0.78,1.0,0.38,1.0,0.67,0.95,0.97,1.0
powerfolder.csv,0.47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.2,0.98
psycle.csv,1.0,0.57,1.0,0.94,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
qgis.csv,0.94,0.85,0.39,1.0,0.49,0.9,1.0,0.5,1.0,0.69,0.82,0.88,0.6,0.67,1.0
sbml.csv,1.0,0.93,0.58,1.0,0.57,0.95,1.0,0.32,1.0,0.4,1.0,0.65,0.46,1.0,1.0
unimrcp.csv,0.82,1.0,1.0,1.0,1.0,0.96,0.41,1.0,1.0,1.0,0.49,0.51,1.0,1.01,0.43
wow-qrsk.csv,0.84,0.49,0.89,0.55,0.92,0.95,0.8,0.81,0.65,0.88,1.0,1.0,0.9,0.98,1.0
