,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,1.0,0.0,0.77,0.0,0.6,1.0,1.0,0.81,0.0,0.93,1.0,1.0,0.39,1.0,1.0
bl-toolkit.csv,0.52,0.0,0.27,0.0,0.01,0.36,0.97,0.16,0.0,0.14,0.76,0.29,0.01,0.77,1.0
bochs.csv,0.0,0.52,0.28,1.0,0.18,0.09,0.0,0.16,1.0,0.09,0.12,0.17,0.48,0.19,0.02
emeraldemu.csv,0.52,0.28,0.56,0.1,0.56,0.68,0.47,0.34,0.05,0.47,0.57,0.9,0.62,0.92,0.3
fbmanager.csv,0.23,0.0,0.01,0.0,0.12,0.27,0.36,0.0,0.0,0.11,0.65,0.17,0.04,0.56,0.23
modellus.csv,0.81,0.0,0.0,0.0,0.0,0.27,0.49,0.0,0.0,0.0,1.0,0.27,0.0,0.83,1.0
openmalaria.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.18
pi-qmc.csv,0.39,0.0,0.01,0.0,0.0,0.09,0.12,0.03,0.0,0.04,0.12,0.22,0.0,0.12,0.07
plplot.csv,1.0,0.0,0.2,0.0,0.02,0.95,1.0,0.22,0.0,0.04,1.0,0.65,0.01,0.97,1.0
powerfolder.csv,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.01,0.98
psycle.csv,1.0,0.53,1.0,0.01,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
qgis.csv,0.0,0.85,0.25,1.0,0.42,0.36,0.0,0.28,1.0,0.39,0.14,0.38,0.56,0.29,0.02
sbml.csv,1.0,0.0,0.5,0.0,0.27,0.95,1.0,0.31,0.0,0.32,1.0,0.63,0.3,1.0,1.0
unimrcp.csv,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.24,0.23,0.0,0.11,0.23
wow-qrsk.csv,0.84,0.41,0.89,0.1,0.92,0.95,0.8,0.81,0.03,0.86,1.0,1.0,0.9,0.98,1.0
