,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.43,0.0,0.37,0.0,0.47,0.42,0.41,0.35,0.0,0.49,0.4,0.37,0.35,0.35,0.41
bl-toolkit.csv,0.69,0.0,0.97,0.0,0.67,0.46,0.41,0.94,0.0,0.92,0.47,0.43,0.5,0.33,0.41
bochs.csv,0.83,0.51,0.48,0.35,0.67,0.8,0.0,0.46,0.41,0.69,0.73,0.84,0.43,0.96,0.5
emeraldemu.csv,0.37,0.42,0.38,0.68,0.51,0.4,0.35,0.38,0.93,0.4,0.39,0.37,0.36,0.32,0.5
fbmanager.csv,0.44,0.0,0.9,0.0,0.78,0.63,0.43,0.92,0.0,0.67,0.43,0.79,0.93,0.41,0.45
modellus.csv,0.46,0.0,0.0,0.0,0.0,0.57,0.45,0.0,0.0,0.0,0.4,0.44,0.0,0.34,0.41
openmalaria.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.52
pi-qmc.csv,0.44,0.0,0.5,0.0,0.0,0.86,0.87,0.75,0.0,0.67,0.6,0.58,0.0,0.79,0.57
plplot.csv,0.43,0.0,0.88,0.0,0.8,0.42,0.41,0.81,0.0,0.67,0.4,0.34,0.8,0.34,0.41
powerfolder.csv,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.8,0.42
psycle.csv,0.43,0.41,0.4,0.92,0.56,0.42,0.41,0.37,0.5,0.51,0.4,0.37,0.36,0.35,0.41
qgis.csv,0.5,0.5,0.52,0.35,0.62,0.94,0.0,0.46,0.41,0.68,0.93,0.98,0.43,0.95,0.0
sbml.csv,0.43,0.92,0.44,0.0,0.57,0.41,0.41,0.36,0.0,0.47,0.4,0.37,0.4,0.35,0.41
unimrcp.csv,0.86,0.0,0.0,0.0,0.0,0.5,0.71,0.0,0.0,0.0,0.5,0.46,0.0,0.92,0.56
wow-qrsk.csv,0.41,0.43,0.38,0.69,0.56,0.41,0.36,0.36,0.99,0.47,0.4,0.37,0.36,0.35,0.41
