,recall,precision,pf,cdom,bellwether
1,0.53,0.5,0.26,6.0,projectfactory.csv
9,0.865,0.865,0.53,1.0,columba.csv
12,0.78,0.78,0.46499999999999997,1.0,nutz.csv
15,0.09,0.635,0.24,2.0,owlapi.csv
21,0.59,0.46499999999999997,0.29,19.0,sigil.csv
42,0.56,0.32,0.26,19.0,empserver.csv
19,0.94,0.96,0.94,0.0,javagroups.csv
20,0.94,0.97,0.94,0.0,jvcl.csv
