,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.32,0.19,0.8,0.95,0.37,0.87,0.77,0.0,0.82,0.44
ffigo.csv,0.12,0.13,0.93,0.33,0.53,0.68,0.59,0.0,1.0,0.42
foursquared.csv,0.11,0.21,0.89,1.0,1.0,1.0,0.93,0.0,0.0,0.75
gebr.csv,0.21,0.14,0.99,0.33,0.37,0.53,0.7,0.09,0.66,0.36
ildjit.csv,1.0,0.16,1.0,0.0,0.33,0.75,0.7,0.0,0.67,0.0
jfreereport.csv,0.42,1.0,0.56,0.32,0.46,0.28,0.51,0.0,0.59,0.29
kml.csv,0.11,0.19,0.95,0.56,0.51,1.0,0.8,0.12,0.75,0.56
ng4j.csv,0.1,0.2,0.73,0.5,0.57,0.58,0.72,0.0,0.94,1.0
pcsx2.csv,0.23,0.19,0.86,0.42,0.48,0.41,0.99,0.0,0.62,0.42
wxjs.csv,0.0,0.13,0.0,0.0,0.0,0.0,0.0,1.0,0.14,0.0
