,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.33,0.29,0.15,0.95,0.44,0.51,0.39,0.0,0.3,0.39
ffigo.csv,0.13,0.22,0.57,0.42,0.41,0.47,0.43,0.0,0.99,0.31
foursquared.csv,0.11,0.22,0.28,0.1,0.98,0.05,0.24,0.0,0.0,0.25
gebr.csv,0.33,0.24,0.98,0.5,0.51,0.69,0.79,0.16,0.76,0.49
ildjit.csv,0.96,0.1,0.12,0.0,0.07,0.15,0.07,0.0,0.05,0.0
jfreereport.csv,0.5,0.93,0.43,0.38,0.32,0.29,0.3,0.0,0.35,0.29
kml.csv,0.14,0.3,0.53,0.64,0.65,0.99,0.63,0.19,0.58,0.53
ng4j.csv,0.13,0.27,0.66,0.29,0.62,0.55,0.56,0.0,0.33,1.0
pcsx2.csv,0.34,0.29,0.76,0.31,0.47,0.5,0.99,0.0,0.34,0.48
wxjs.csv,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0
