,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.68,0.54,0.9,0.6,0.46,0.8,0.72,0.83,0.94,0.88
ffigo.csv,0.74,0.49,0.63,0.48,0.93,0.84,0.69,0.85,0.46,0.92
foursquared.csv,0.75,0.99,0.94,0.0,0.57,0.0,0.96,0.0,0.0,0.75
gebr.csv,0.44,0.42,0.46,0.38,0.31,0.35,0.43,0.4,0.37,0.42
ildjit.csv,0.93,0.99,0.83,0.67,0.67,0.75,0.9,0.75,0.67,0.0
jfreereport.csv,0.86,0.99,0.89,0.61,0.92,0.67,0.97,0.94,0.81,0.81
kml.csv,0.55,0.46,0.53,0.44,0.34,0.46,0.42,0.62,0.42,0.72
ng4j.csv,0.6,0.71,0.59,0.88,0.46,0.61,0.51,0.93,0.94,0.8
pcsx2.csv,0.58,0.56,0.5,0.92,0.57,0.46,0.48,0.95,0.9,0.62
wxjs.csv,0.0,0.93,0.0,0.5,0.5,0.0,0.67,0.88,0.86,0.0
