,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,5.0,4.0,1.0,0.0,9.0,1.0,0.0,97.0,0.0,3.0
ffigo.csv,6.0,0.0,0.0,2.0,4.0,0.0,0.0,97.0,0.0,3.0
foursquared.csv,14.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,119.0,1.0
gebr.csv,11.0,2.0,0.0,8.0,10.0,2.0,0.0,32.0,0.0,4.0
ildjit.csv,0.0,0.0,0.0,65.0,2.0,0.0,0.0,97.0,0.0,78.0
jfreereport.csv,7.0,0.0,0.0,6.0,2.0,3.0,7.0,97.0,0.0,1.0
kml.csv,4.0,17.0,1.0,1.0,2.0,0.0,2.0,10.0,1.0,2.0
ng4j.csv,9.0,21.0,0.0,2.0,3.0,7.0,0.0,97.0,0.0,0.0
pcsx2.csv,14.0,8.0,0.0,3.0,3.0,3.0,0.0,97.0,2.0,5.0
wxjs.csv,125.0,10.0,135.0,65.0,69.0,74.0,271.0,0.0,4.0,78.0
