,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv,jmule.csv
fm-classic.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0
foursquared.csv,0.33,0.13,0.0,0.97,0.1,0.0,0.25
ifmo-game-1.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jmule.csv,0.46,0.59,0.7,0.82,0.67,0.86,0.97
micomt.csv,0.0,0.36,0.37,0.58,1.0,0.81,0.14
voms.csv,0.0,0.91,0.0,0.0,0.0,0.0,0.05
