,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.17,0.73,0.31,0.27,0.34,0.21,0.1,0.19,0.15,0.0,0.46,0.06,0.99,0.58,0.63
grafx2.csv,0.23,0.4,0.45,0.45,0.96,0.28,0.52,0.18,0.4,0.38,0.35,0.07,0.44,0.44,0.67
keyczar.csv,0.18,0.44,0.28,0.69,0.61,0.31,0.59,0.38,0.46,0.59,0.43,0.05,0.47,0.99,0.68
lmms.csv,0.2,0.99,0.37,0.68,0.58,0.29,0.61,0.36,0.52,0.58,0.48,0.04,0.78,0.73,0.7
lufa-lib.csv,0.18,0.51,0.22,0.46,0.52,0.27,0.43,0.13,0.37,0.98,0.39,0.0,0.47,0.19,0.39
netatalk.csv,0.27,0.39,0.48,0.62,0.57,0.31,0.5,0.27,0.44,0.2,0.92,0.03,0.51,0.22,0.47
openmeetings.csv,0.04,0.23,0.98,0.68,0.52,0.25,0.33,0.29,0.41,0.48,0.56,0.0,0.11,0.12,0.28
openxava.csv,0.27,0.26,0.23,0.38,0.13,0.3,0.48,0.97,0.29,0.6,0.3,0.1,0.32,0.19,0.15
pgui.csv,0.16,0.58,0.34,0.61,0.54,0.21,0.39,0.11,0.96,0.58,0.39,0.03,0.6,0.08,0.42
qpe.csv,0.93,0.26,0.29,0.34,0.08,0.22,0.25,0.0,0.25,0.16,0.0,0.0,0.34,0.12,0.08
quickfast.csv,0.09,0.69,0.29,0.6,0.69,0.27,0.68,0.17,0.46,0.48,0.38,0.06,0.79,0.64,0.99
rsyslog.csv,0.25,0.56,0.55,1.0,0.55,0.33,0.51,0.27,0.43,0.55,0.46,0.09,0.66,0.33,0.64
sylpheed-claws.csv,0.22,0.58,0.44,0.54,0.69,0.3,0.98,0.28,0.42,0.41,0.43,0.03,0.67,0.53,0.65
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.0
yale.csv,0.13,0.49,0.2,0.54,0.55,0.97,0.44,0.41,0.27,0.53,0.37,0.02,0.56,0.86,0.37
