,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.49,0.56,0.64,0.0,0.03,0.56,0.02,0.8,0.02,0.0,0.76,0.79,0.0,0.4,0.56
grafx2.csv,0.24,0.14,0.25,0.21,0.03,0.2,0.24,0.41,0.2,0.33,0.37,0.65,0.14,0.13,0.16
keyczar.csv,0.33,0.23,0.07,0.42,0.5,0.38,0.49,0.14,0.71,0.82,0.39,0.62,0.0,0.07,0.59
lmms.csv,0.66,0.01,0.2,0.71,0.92,0.23,0.67,0.22,0.53,0.92,0.79,0.74,0.36,0.53,0.72
lufa-lib.csv,0.28,0.26,0.13,0.17,0.68,0.25,0.27,0.67,0.3,0.01,0.29,0.15,0.14,0.0,0.31
netatalk.csv,0.21,0.14,0.12,0.04,0.05,0.11,0.18,0.27,0.14,0.07,0.0,0.46,0.14,0.0,0.16
openmeetings.csv,0.12,0.18,0.0,0.12,0.08,0.08,0.13,0.19,0.09,0.34,0.11,0.05,0.07,0.0,0.06
openxava.csv,0.18,0.1,0.63,0.0,0.0,0.46,0.12,0.01,0.05,0.66,0.08,0.3,0.07,0.07,0.09
pgui.csv,0.43,0.47,0.16,0.62,0.87,0.2,0.56,0.5,0.01,0.92,0.29,0.46,0.43,0.07,0.31
qpe.csv,0.0,0.18,0.6,0.75,0.08,0.12,0.45,0.02,0.14,0.32,0.08,0.18,0.43,0.07,0.03
quickfast.csv,0.54,0.71,0.82,0.75,0.95,0.79,0.6,0.87,0.66,0.62,0.87,0.83,0.86,0.33,0.0
rsyslog.csv,0.3,0.3,0.15,0.0,0.32,0.17,0.34,0.37,0.67,0.87,0.34,0.54,0.21,0.2,0.25
sylpheed-claws.csv,0.43,0.33,0.18,0.17,0.16,0.41,0.01,0.44,0.53,0.51,0.39,0.61,0.36,0.13,0.47
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yale.csv,0.35,0.6,0.9,0.83,0.68,0.0,0.29,0.05,0.55,0.82,0.79,0.69,0.79,0.93,0.16
