,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.87,0.2,0.72,0.61,0.71,0.83,0.78,0.48,0.36,0.64,0.75,0.79,0.87,0.77,0.52,0.76,0.77,0.98
decidr.csv,0.37,0.8,0.66,0.57,0.33,0.31,0.98,0.73,0.63,0.43,0.46,0.45,0.5,0.69,0.24,0.47,0.68,0.36
doomlegacy.csv,0.82,1.0,0.77,0.67,0.84,0.83,0.88,0.93,0.81,1.0,0.79,0.76,0.73,0.92,1.0,0.82,0.82,0.71
elmo.csv,0.03,0.8,0.0,0.04,0.01,0.0,0.02,0.04,0.04,0.0,0.06,0.0,0.04,0.0,0.02,0.0,0.0,0.05
gpac.csv,0.39,0.0,0.31,0.39,0.35,0.31,0.38,0.95,0.4,0.43,0.28,0.48,0.48,0.54,0.22,0.65,0.5,0.48
illumination.csv,0.17,0.0,0.21,0.26,0.17,0.33,0.07,0.04,0.12,0.0,0.25,0.21,0.08,0.23,0.39,0.82,0.41,0.3
img-browse-sort.csv,0.56,0.4,0.43,0.52,0.56,0.47,0.47,0.52,0.45,0.43,0.64,0.52,0.62,0.92,0.21,0.41,0.27,0.45
ktc.csv,0.94,0.0,0.52,0.28,0.51,0.36,0.35,0.43,0.35,0.36,0.43,0.42,0.58,0.54,0.3,0.41,0.45,0.45
neoengine.csv,0.66,0.8,0.96,0.48,0.58,0.47,0.39,0.7,0.77,0.36,0.61,0.61,0.6,0.46,0.52,0.71,0.64,0.45
nicepress.csv,0.47,0.2,0.45,0.17,0.58,1.0,0.43,0.45,0.61,0.07,0.42,0.52,0.44,0.23,0.28,0.47,0.32,0.48
omseek.csv,0.07,0.0,0.03,0.13,0.14,0.39,0.16,0.11,0.13,0.21,0.13,0.88,0.23,0.15,0.04,0.06,0.05,0.06
pi-qmc.csv,0.6,1.0,0.71,0.76,0.53,0.5,0.41,0.98,0.63,0.64,0.61,0.67,0.71,0.62,0.35,0.59,1.0,0.42
rosegarden.csv,0.55,1.0,0.51,0.59,0.95,0.47,0.42,0.39,0.34,0.5,0.37,0.73,0.54,0.31,0.56,0.18,0.45,0.39
sigil.csv,0.45,0.4,0.52,0.48,0.47,0.5,0.44,0.23,0.22,0.86,0.67,0.48,1.0,0.62,0.2,0.35,0.5,0.44
smarttag.csv,0.39,0.0,0.71,0.24,0.5,0.36,0.35,0.48,0.62,1.0,0.42,0.24,0.23,0.69,0.48,0.47,0.41,0.38
sylpheed-claws.csv,0.59,0.4,0.59,0.37,0.46,0.53,0.57,0.57,0.97,0.36,0.39,0.58,0.44,0.62,0.5,0.53,0.77,0.45
xemeiah.csv,0.72,0.4,0.63,0.43,0.61,0.58,0.54,0.57,0.75,0.64,0.99,0.48,0.52,0.54,0.65,0.35,0.5,0.38
zscreen.csv,0.54,0.4,0.51,0.96,0.61,0.69,0.64,0.7,0.47,0.36,0.61,0.55,0.56,0.69,0.39,0.35,0.27,0.65
