,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.5,0.06,0.49,0.76,0.36,0.42,0.56,0.61,0.61,0.35,0.51,0.13,0.69,0.31,0.82,0.21,0.41,1.0
decidr.csv,0.38,0.14,0.53,0.76,0.3,0.39,0.99,0.59,0.59,0.24,0.57,0.13,0.74,0.28,0.83,0.27,0.48,0.89
doomlegacy.csv,0.5,0.1,0.48,0.78,0.34,0.37,0.61,0.56,0.56,0.32,0.51,0.13,0.7,0.26,1.0,0.24,0.47,0.87
elmo.csv,0.38,1.0,0.0,1.0,0.1,0.0,0.7,0.5,0.56,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0
gpac.csv,0.54,0.0,0.56,0.58,0.4,0.37,0.55,0.98,0.63,0.27,0.56,0.22,0.78,0.39,0.75,0.34,0.73,0.94
illumination.csv,0.59,0.0,0.49,0.46,0.5,0.36,0.54,0.67,0.72,0.0,0.47,0.1,0.4,0.19,0.76,1.0,0.69,0.8
img-browse-sort.csv,0.63,0.14,0.61,0.73,0.48,0.35,0.62,0.64,0.66,0.27,0.69,0.16,0.67,1.0,0.71,0.33,0.14,0.88
ktc.csv,1.0,0.0,0.64,0.93,0.66,0.59,0.73,0.6,0.72,0.38,0.74,0.2,0.86,0.5,0.86,0.33,0.77,0.91
neoengine.csv,0.58,0.06,0.96,0.67,0.45,0.47,0.73,0.61,0.49,0.29,0.6,0.16,0.78,0.35,0.76,0.26,0.7,0.91
nicepress.csv,0.64,0.05,0.58,0.89,0.49,1.0,0.72,0.6,0.6,0.17,0.64,0.22,0.96,0.38,0.81,0.28,0.35,0.97
omseek.csv,0.53,0.0,0.38,1.0,0.82,0.58,0.71,0.6,0.58,0.17,0.75,1.0,1.0,0.33,1.0,0.33,0.5,0.8
pi-qmc.csv,0.53,0.07,0.49,0.74,0.52,0.47,0.6,0.56,0.49,0.32,0.51,0.16,0.82,0.31,0.8,0.26,1.0,0.93
rosegarden.csv,0.73,0.09,0.55,0.61,0.98,0.52,0.66,0.65,0.62,0.33,0.61,0.12,0.76,0.31,0.79,0.11,0.62,0.93
sigil.csv,0.5,0.1,0.55,0.88,0.34,0.5,0.58,0.48,0.62,0.33,0.52,0.18,0.98,0.47,0.76,0.22,0.5,0.94
smarttag.csv,0.51,0.0,0.46,0.79,0.36,0.45,0.66,0.56,0.6,1.0,0.52,0.08,0.55,0.26,0.78,0.23,0.53,0.89
sylpheed-claws.csv,0.57,0.06,0.55,0.77,0.37,0.48,0.61,0.56,0.99,0.42,0.52,0.16,0.66,0.36,0.77,0.24,0.31,0.83
xemeiah.csv,0.67,0.08,0.54,0.77,0.51,0.47,0.73,0.57,0.59,0.28,0.99,0.24,0.79,0.33,0.8,0.26,0.79,0.96
zscreen.csv,0.51,0.07,0.55,1.0,0.33,0.51,0.73,0.62,0.62,0.2,0.47,0.16,0.72,0.35,0.79,0.15,0.43,0.91
