,id,count_recall,count_precision,count_pf,cdom_score,bellwether
40,4,3,5,5,8,rcp-company-uibindings.csv
47,5,2,1,6,8,mbse.csv
17,6,0,5,7,6,jfreereport.csv
12,7,3,10,12,16,qse.csv
23,8,3,3,9,12,turbotrader-bos.csv
20,10,2,2,2,2,pfaedit.csv
11,11,2,2,6,8,dvt.csv
42,12,8,6,12,18,jaolt.csv
46,13,4,8,12,14,modellus.csv
48,14,4,3,2,3,google-caja.csv
41,15,2,10,13,16,rocrail.csv
14,16,4,8,12,14,riff-evolve.csv
19,17,5,10,14,16,acdk.csv
9,18,1,6,10,10,ftm.csv
21,19,7,4,8,14,rosegarden.csv
24,21,3,3,5,6,runuomondains.csv
49,22,1,2,2,2,log4net.csv
39,23,2,8,11,11,mp-rechnungs-und-kundenverwaltung.csv
38,24,3,8,9,15,mclient-mume.csv
50,25,3,8,17,19,poormans.csv
22,26,2,4,10,17,uwom-server.csv
10,27,2,7,8,11,lmms.csv
18,28,2,0,2,3,dataobjectsdotnet.csv
13,29,4,7,6,11,wheat.csv
31,30,3,9,11,14,hydrate.csv
28,31,2,4,5,4,zildo.csv
2,32,1,7,17,16,mediaportal.csv
8,33,1,2,5,5,lite.csv
7,34,1,2,7,8,servicestack.csv
3,35,2,3,3,9,panda3d.csv
27,36,6,7,8,13,xcmetadataservicestoolkit.csv
32,39,3,6,10,16,bscwweasel.csv
44,40,1,2,15,16,jvcl.csv
36,41,10,6,8,16,findbugs.csv
15,42,2,5,18,19,nassp.csv
26,43,2,4,13,13,etics.csv
25,44,2,5,6,8,autofac.csv
16,45,2,7,12,12,genoviz.csv
35,46,3,6,15,17,jcae.csv
45,47,2,2,5,7,rodin-b-sharp.csv
37,48,10,8,9,16,phonon-vlc-mplayer.csv
43,49,1,4,8,9,taokgame.csv
0,50,3,2,1,5,atomsite.csv
5,51,0,4,14,14,taverna.csv
33,52,4,4,9,13,icescrum.csv
30,53,4,0,5,8,apolloplayer.csv
29,54,3,5,8,9,fritzing.csv
34,55,1,3,7,7,biodwh.csv
4,56,1,0,7,6,geogebra.csv
1,57,5,3,7,12,jstock.csv
6,58,4,3,13,12,e-bio-flow.csv
