,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,m-a-d-n-e-s-s.csv,yarp.csv,ftm.csv
bloodycore.csv,0.43,0.75,0.73,0.32,0.56,0.33,0.5,0.0,0.53
flylegacy.csv,0.42,0.83,0.83,0.21,0.59,0.34,0.33,0.42,0.46
ftm.csv,0.56,1.0,0.86,0.25,0.67,0.5,0.53,0.46,0.63
jguard.csv,0.35,0.5,0.74,0.18,0.66,0.48,0.3,0.46,0.46
m-a-d-n-e-s-s.csv,0.6,0.0,1.0,0.33,0.5,0.0,0.68,0.33,0.56
mob-sen-plat.csv,0.37,0.9,0.75,0.15,0.64,0.34,0.35,0.44,0.48
raygina.csv,0.61,0.0,0.73,0.16,0.65,0.32,0.39,0.46,0.46
upp-mirror.csv,0.38,0.86,0.78,0.21,0.74,0.46,0.46,0.47,0.71
yarp.csv,0.67,1.0,0.81,0.07,0.0,0.19,0.47,0.55,1.0
