,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.24,0.0,0.47,0.75,0.27,0.0,0.56,0.24,0.17,0.24,0.05,0.59,0.63,0.0,0.67
aufs.csv,0.42,0.37,0.0,0.54,0.15,0.22,0.53,0.24,0.6,0.41,0.56,0.65,0.18,0.49,0.15
bulmages.csv,0.0,0.29,0.13,0.63,0.34,0.15,0.11,0.04,0.0,0.71,0.73,0.04,0.72,0.09,0.0
coot.csv,0.04,0.27,0.48,0.24,0.38,0.47,0.48,0.37,0.22,0.5,0.53,0.52,0.77,0.55,0.51
emono.csv,0.56,0.41,0.62,0.49,0.47,0.2,0.49,0.44,0.33,0.62,0.59,0.21,0.63,0.51,0.63
extprosys.csv,0.13,0.65,0.0,0.27,0.29,0.52,0.63,0.73,0.06,0.48,0.48,0.55,0.33,0.56,0.52
freelords.csv,0.54,0.64,0.09,0.49,0.62,0.62,0.66,0.56,0.67,0.59,0.58,0.44,0.58,0.44,0.32
jnode.csv,0.26,0.05,0.09,0.26,0.06,0.81,0.05,0.3,0.0,0.23,0.0,0.04,0.58,0.04,0.02
jruby.csv,0.61,0.02,0.56,0.0,0.59,0.4,0.32,0.57,0.0,0.09,0.74,0.21,0.02,0.67,0.18
jsecurity.csv,0.13,0.29,0.05,0.11,0.66,0.65,0.17,0.16,0.29,0.17,0.34,0.06,0.63,0.32,0.43
matrex.csv,0.44,0.1,0.13,0.55,0.1,0.35,0.05,0.5,0.19,0.0,0.83,0.25,0.1,0.16,0.21
officefloor.csv,0.54,0.25,0.22,0.06,0.22,0.58,0.12,0.69,0.53,0.22,0.38,0.35,0.36,0.36,0.36
projectfactory.csv,0.54,0.0,0.18,0.06,0.18,0.42,0.23,0.19,0.17,0.06,0.05,0.61,0.02,0.33,0.42
taverna.csv,0.44,0.16,0.65,0.02,0.25,0.52,0.19,0.41,0.04,0.33,0.18,0.59,0.59,0.2,0.49
vxl.csv,0.47,0.52,0.3,0.21,0.64,0.62,0.44,0.72,0.09,0.51,0.45,0.48,0.32,0.37,0.58
