,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.72,0.34,0.92,0.99,0.56,0.72,0.91,0.72,0.73,0.34,0.65,0.94,0.9,0.7
continuum-ide.csv,0.5,1.09,0.77,1.04,0.25,0.81,0.66,0.33,1.0,0.82,0.84,0.99,0.84,0.97
free-evolution.csv,0.42,0.47,0.48,0.68,0.67,0.28,0.65,0.76,0.55,0.52,0.49,0.82,0.68,0.8
gtad.csv,0.2,0.86,0.57,0.92,0.33,0.6,0.7,0.73,0.8,0.74,0.77,1.0,0.75,0.84
jaxen.csv,0.85,1.01,0.68,0.38,1.34,0.11,0.82,0.87,0.55,0.89,0.71,0.72,0.9,0.79
jruby.csv,0.53,0.71,0.69,1.0,1.11,0.45,0.77,0.82,1.0,0.64,0.79,0.9,0.59,0.92
jsr308-langtools.csv,0.7,0.73,0.89,0.87,1.0,0.99,0.12,0.9,0.94,1.0,0.83,0.76,0.9,0.51
kaffeine.csv,0.96,0.17,0.59,1.01,0.51,0.65,1.0,0.92,1.0,0.73,0.67,0.65,0.85,0.72
oorexx.csv,1.01,0.59,0.48,0.76,1.02,1.0,0.57,0.94,0.72,0.82,0.62,0.85,0.88,0.47
qedo.csv,1.04,1.13,0.93,0.95,0.07,0.83,0.89,0.6,0.83,0.82,0.83,0.31,0.95,0.72
sarasvati.csv,0.61,0.88,0.38,0.87,0.28,1.01,0.45,0.64,0.94,0.56,0.78,0.92,0.79,0.89
taokgame.csv,0.56,0.9,0.94,0.1,1.06,0.63,0.82,0.85,0.58,0.9,0.73,1.03,0.92,0.75
zabbix.csv,0.65,0.47,0.66,0.87,1.03,0.52,0.42,0.9,0.59,0.88,0.67,1.01,0.72,0.62
