,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.75,0.24,0.66,0.49,0.34,0.67,0.38,0.5,1.0,0.47,0.66,0.44
gamestone.csv,0.26,1.0,0.42,0.11,0.07,0.15,0.05,0.18,0.31,0.29,0.34,0.48
gbif-providertoolkit.csv,0.0,0.0,0.04,0.12,0.96,0.04,0.14,0.09,0.02,0.1,0.04,0.22
heekscad.csv,0.98,0.08,0.73,0.42,0.34,0.6,0.29,0.47,0.7,0.32,0.68,0.43
igarden.csv,0.29,0.21,0.41,0.97,0.32,0.31,0.36,0.19,0.36,0.23,0.31,0.41
levent.csv,0.18,0.29,0.25,0.2,0.52,1.0,0.22,0.21,0.23,0.26,0.34,0.33
libmesh.csv,0.29,0.08,0.09,0.3,0.14,0.0,0.92,0.16,0.25,0.31,0.11,0.52
openmsx.csv,0.6,0.17,0.37,0.33,0.41,0.21,0.38,0.94,0.42,0.3,0.55,0.5
pnotepad.csv,0.78,0.26,0.65,0.48,0.3,0.8,0.42,0.51,0.81,0.36,0.99,0.59
quark.csv,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.39
tango-cs.csv,0.68,0.14,0.42,0.38,0.3,0.35,0.15,0.35,0.75,0.37,0.72,1.0
xcsoar.csv,0.69,0.24,0.99,0.45,0.37,0.55,0.22,0.38,0.62,0.35,0.43,0.57
