,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.68,0.72,0.64,0.58,0.6,0.5,0.82,0.75,0.0,0.45,0.57,0.66
gamestone.csv,0.85,0.0,0.7,0.94,0.95,0.92,1.01,0.89,0.83,0.72,0.79,0.64
gbif-providertoolkit.csv,1.0,1.0,0.98,0.94,0.07,0.98,0.92,0.95,0.99,0.93,0.98,0.87
heekscad.csv,0.04,0.93,0.38,0.71,0.6,0.65,0.84,0.72,0.6,0.65,0.5,0.67
igarden.csv,0.83,0.77,0.72,0.04,0.79,0.82,0.73,0.88,0.78,0.78,0.82,0.7
levent.csv,0.9,0.75,0.85,0.86,0.33,0.0,0.86,0.87,0.87,0.74,0.8,0.77
libmesh.csv,0.83,0.93,0.95,0.76,0.92,1.0,0.12,0.91,0.86,0.71,1.02,0.63
openmsx.csv,0.59,0.79,0.75,0.82,0.47,0.89,0.72,0.11,0.75,0.69,0.77,0.69
pnotepad.csv,0.77,0.68,0.79,0.93,0.8,0.75,0.78,0.86,0.75,0.9,0.02,0.75
quark.csv,0.97,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0,0.72
tango-cs.csv,0.52,0.83,0.7,0.68,0.63,0.79,0.91,0.79,0.68,0.69,0.56,0.0
xcsoar.csv,0.45,0.68,0.01,0.59,0.52,0.62,0.87,0.73,0.56,0.92,0.73,0.61
