,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.8,0.79,0.8,0.84,0.95,0.48,0.96,0.62,0.85,0.34,0.85,0.39,0.71,0.72,0.96,0.89
fleet-simulator.csv,0.97,0.9,0.36,1.0,0.81,0.68,0.78,0.78,0.86,0.61,0.99,0.04,0.74,0.77,0.76,0.87
geogebra.csv,0.6,0.81,0.23,0.93,0.52,0.97,0.43,0.75,0.67,0.46,0.67,0.7,0.68,0.43,1.01,0.78
gtad.csv,0.17,0.87,0.34,0.91,0.54,0.77,0.47,0.62,1.1,0.54,0.88,0.76,0.67,0.66,0.96,0.64
hibernate.csv,0.41,0.87,1.13,0.83,0.61,0.83,0.44,0.59,0.66,0.9,0.65,0.81,0.58,0.52,0.77,0.58
ipfire-wall.csv,0.56,0.81,1.0,0.84,0.33,0.95,0.43,0.6,0.57,0.65,0.86,0.63,0.71,0.63,0.93,0.68
irplus.csv,0.41,0.75,0.38,0.74,0.58,0.72,0.39,0.62,0.38,0.5,0.61,0.56,0.54,0.55,0.62,0.77
mumble.csv,0.52,0.59,1.25,0.81,0.94,0.68,0.33,0.79,1.05,0.73,0.6,0.02,0.67,0.64,0.79,0.78
ondex.csv,0.72,0.97,1.05,0.89,0.53,0.75,0.52,0.7,0.99,0.88,0.53,0.76,0.68,0.59,0.89,0.52
powerfolder.csv,0.54,0.79,1.02,0.88,0.59,0.75,0.51,0.76,0.11,0.61,0.82,0.64,0.63,0.67,0.8,0.49
projectts.csv,0.62,0.61,0.93,0.94,0.71,0.69,0.54,0.78,0.85,0.75,0.66,0.61,0.69,0.7,0.95,0.62
quantlib.csv,1.01,1.0,1.0,0.54,1.0,0.85,1.0,0.97,1.0,0.99,1.0,0.85,1.0,1.0,0.47,1.0
smartgwt.csv,0.86,0.79,0.41,0.46,0.75,0.67,0.65,0.8,0.17,0.36,0.72,1.36,0.61,0.72,0.71,0.8
tweetsharp.csv,0.57,0.69,0.97,0.67,0.87,0.97,0.49,0.72,1.1,1.05,0.75,1.25,0.81,0.8,0.88,0.37
wxlua.csv,0.95,0.8,1.06,0.52,0.76,0.76,0.85,0.84,0.13,0.65,0.73,1.3,0.94,0.89,0.68,0.68
