,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.95,0.2,0.57,0.16,0.05,0.13,0.61,0.61,0.51,0.0
h2database.csv,0.31,0.97,0.42,0.3,0.24,0.14,0.21,0.2,0.09,0.08
hannosset.csv,0.0,0.0,0.0,0.02,0.03,0.91,0.04,0.01,0.0,0.0
jaql.csv,0.3,0.3,0.48,0.97,0.51,0.21,0.71,0.57,0.33,0.02
megameknet.csv,0.27,0.28,0.5,0.56,0.98,0.07,0.72,0.53,0.34,0.2
ngl.csv,0.28,0.25,0.29,0.52,0.5,0.12,0.73,0.99,0.47,0.17
qedo.csv,0.04,0.0,0.0,0.08,0.0,0.0,0.29,0.31,0.34,0.98
qmmp.csv,0.26,0.32,0.31,0.51,0.46,0.16,0.7,0.62,0.98,0.07
raven-monitoring.csv,0.23,0.12,0.97,0.33,0.37,0.14,0.55,0.29,0.17,0.08
v8.csv,0.24,0.29,0.58,0.59,0.49,0.16,1.0,0.69,0.66,0.09
