,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,1.0,0.22,0.44,0.89,0.33,0.07,0.91,0.52,0.44,0.0
h2database.csv,0.2,1.0,0.44,0.59,0.52,0.12,0.92,0.53,0.75,0.05
hannosset.csv,0.0,0.0,0.0,0.5,0.25,1.0,1.0,0.5,0.0,0.0
jaql.csv,0.2,0.2,0.56,1.0,0.45,0.13,0.95,0.6,0.4,0.01
megameknet.csv,0.21,0.21,0.42,0.52,1.0,0.04,0.95,0.51,0.33,0.12
ngl.csv,0.17,0.15,0.32,0.47,0.43,0.08,0.93,1.0,0.51,0.1
qedo.csv,0.5,0.0,0.0,0.5,0.0,0.0,0.9,0.4,0.53,1.0
qmmp.csv,0.16,0.2,0.31,0.42,0.36,0.09,0.93,0.59,1.0,0.04
raven-monitoring.csv,0.23,0.09,0.97,0.62,0.45,0.09,0.92,0.38,0.26,0.07
v8.csv,0.15,0.19,0.59,0.55,0.4,0.09,1.0,0.54,0.5,0.06
